ord_value,organism_name,organism_category
alistipes onderdonkii,alistipes_onderdonkii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
alloscardovia omnicolens,alloscardovia_omnicolens,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
alloscardovia sp.,alloscardovia_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
four or more strains of anaerobic organisms present,anaerobic_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
mixed anaerobic bacteria,anaerobic_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
mixed anaerobic organisms isolated,anaerobic_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
anaerococcus hydrogenalis,anaerococcus_hydrogenalis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
anaerococcus lactolyticus,anaerococcus_lactolyticus,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
anaerococcus murdochii,anaerococcus_murdochii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
anaerococcus species,anaerococcus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
anaerococcus sp.,anaerococcus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
anaerococcus tetradius,anaerococcus_tetradius,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
anaerococcus vaginalis,anaerococcus_vaginalis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
anaerotruncus species,anaerotruncus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
atopobium minutum,atopobium_minutum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
atopobium parvulum,atopobium_parvulum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
atopobium parvulum/lancefieldella parvula,atopobium_parvulum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
atopobium rimae,atopobium_rimae,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
atopobium rimae/lancefieldella rimae,atopobium_rimae,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
atopobium species,atopobium_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
atopobium sp.,atopobium_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
atopobium vaginae,atopobium_vaginae,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
bifidobacterium bifidum,bifidobacterium_bifidum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
bifidobacterium breve,bifidobacterium_breve,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
bifidobacterium dentium,bifidobacterium_dentium,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
bifidobacterium longum,bifidobacterium_longum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
bifidobacterium longum subsp. infantis,bifidobacterium_longum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
bifidobacterium scardovii,bifidobacterium_scardovii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
bifidobacterium species,bifidobacterium_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
bifidobacterium sp.,bifidobacterium_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
blautia coccoides,blautia_coccoides,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
bulleidia extructa,bulleidia_extructa,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
collinsella aerofaciens,collinsella_aerofaciens,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
desulfovibrio desulfuricans,desulfovibrio_desulfuricans,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
desulfovibrio species,desulfovibrio_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
dialister micraerophilus,dialister_micraerophilus,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
dialister pneumosintes,dialister_pneumosintes,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
dialister sp.,dialister_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
eggerthella lenta,eggerthella_lenta,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
eggerthella sp.,eggerthella_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
eggerthia catenaformis,eggerthia_catenaformis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
eubacterium brachy,eubacterium_brachy,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
eubacterium lentum,eubacterium_lentum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
eubacterium limosum,eubacterium_limosum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
eubacterium species,eubacterium_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
eubacterium tenue,eubacterium_tenue,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
facklamia hominis,facklamia_hominis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
facklamia species,facklamia_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
facklamia sp.,facklamia_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
flavonifractor  plautii,flavonifractor_plautii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
flavonifractor (clostridium) plautii,flavonifractor_plautii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
flavonifractor plautii,flavonifractor_plautii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
fusobacterium necrogenes,fusobacterium_necrogenes,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
fusobacterium necrophorum,fusobacterium_necrophorum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
fusobacterium necrophorum probable,fusobacterium_necrophorum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
fusobacterium periodonticum,fusobacterium_periodonticum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
fusobacterium species,fusobacterium_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
fusobacterium species probable,fusobacterium_species,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
fusobacterium sp.,fusobacterium_spp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
fusobacterium ulcerans,fusobacterium_ulcerans,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
fusobacterium ulcerans/varium probable,fusobacterium_ulcerans/varium,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
fusobacterium varium,fusobacterium_varium,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
helcococcus kunzii,helcococcus_kunzii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
helcococcus species,helcococcus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
helcococcus sp.,helcococcus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
helcococcus sueciensis,helcococcus_sueciensis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
hungatella hathewayi,hungatella_hathewayi,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
lachnoanaerobaculum orale,lachnoanaerobaculum_orale,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
leptotrichia species,leptotrichia_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
leptotrichia sp.,leptotrichia_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
leptotrichia trevisanii,leptotrichia_trevisanii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
leptotrichia wadei,leptotrichia_wadei,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
megasphaera species,megasphaera_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
mogibacterium sp.,mogibacterium_spp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
odoribacter splanchnicus,odoribacter_splanchnicus,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
olsenella sp.,olsenella_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
olsenella uli,olsenella_uli,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
parabacteroides distasonis,parabacteroides_distasonis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
parvimonas (peptostreptococcus) micra,parvimonas_micra,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
parvimonas micra,parvimonas_micra,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
parvimonas sp.,parvimonas_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
parvimonas sp. previously identified,parvimonas_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptococcus niger,peptococcus_niger,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus (peptostreptococcus) asaccharolyticus probable,peptoniphilus_asaccharolyticus,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus assacharolyticus,peptoniphilus_assacharolyticus,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus coxii,peptoniphilus_coxii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus (peptostreptococcus) harei,peptoniphilus_harei,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus (peptostreptococcus) harei previously identified,peptoniphilus_harei,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus harei,peptoniphilus_harei,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus (peptostreptococcus) indolicus,peptoniphilus_indolicus,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus indolicus,peptoniphilus_indolicus,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus lacrimalis,peptoniphilus_lacrimalis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus (peptostreptococcus) sp.,peptoniphilus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus species,peptoniphilus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptoniphilus sp.,peptoniphilus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptostreptococcus anaerobius,peptostreptococcus_anaerobius,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptostreptococcus canis,peptostreptococcus_canis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptostreptococcus micros,peptostreptococcus_micros,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
"anaerobic gram- positive cocci, formerly peptostreptococcus",peptostreptococcus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
"anaerobic gram- positive cocci, formerly peptostreptococcus probable",peptostreptococcus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptostreptococcus species,peptostreptococcus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
peptostreptococcus sp.,peptostreptococcus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
porphyromonas asaccharolytica,porphyromonas_asaccharolytica,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
porphyromonas gingivalis,porphyromonas_gingivalis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
porphyromonas somerae,porphyromonas_somerae,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
porphyromonas species,porphyromonas_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
porphyromonas sp.,porphyromonas_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella baroniae,prevotella_baroniae,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella bergensis,prevotella_bergensis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella bivia,prevotella_bivia,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella buccae,prevotella_buccae,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella buccalis,prevotella_buccalis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella corporis,prevotella_corporis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella dentalis,prevotella_dentalis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella denticola,prevotella_denticola,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella disiens,prevotella_disiens,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella heparinolytica,prevotella_heparinolytica,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella histicola,prevotella_histicola,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella intermedia,prevotella_intermedia,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella loescheii,prevotella_loescheii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella loeschii,prevotella_loeschii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella melaninogenica,prevotella_melaninogenica,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella melaninogenica probable,prevotella_melaninogenica,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella nanceiensis,prevotella_nanceiensis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella nigrescens,prevotella_nigrescens,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella oralis,prevotella_oralis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella oris,prevotella_oris,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella oulorum,prevotella_oulorum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella salivae,prevotella_salivae,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
black pigmented prevotella or porphyromonas sp.,prevotella_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella species,prevotella_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella species previously identified,prevotella_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella sp.,prevotella_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella timonensis,prevotella_timonensis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
prevotella veroralis,prevotella_veroralis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
propionimicrobium lymphophilum,propionimicrobium_lymphophilum,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
propionimicrobium species,propionimicrobium_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
robinsoniella peoriensis,robinsoniella_peoriensis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
robinsoniella sp.,robinsoniella_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
roseburia hominis,roseburia_hominis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
ruminococcus gnavus,ruminococcus_gnavus,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
ruminococcus species,ruminococcus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
ruminococcus sp.,ruminococcus_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
slackia exigua,slackia_exigua,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
slackia (eubacterium) species,slackia_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
solobacterium moorei,solobacterium_moorei,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
solobacterium species,solobacterium_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
solobacterium sp.,solobacterium_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
sutterella wadsworthensis,sutterella_wadsworthensis,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
terrisporobacter glycolicus,terrisporobacter_glycolicus,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
tissierella praeacuta,tissierella_praeacuta,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
torulomyces sp.,torulomyces_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
trichosporon asahii,trichosporon_asahii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
trichosporon asahii (beigelii),trichosporon_asahii,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
trichosporon mycotoxinivorans,trichosporon_mycotoxinivorans,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
trichosporon species,trichosporon_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
trichosporon sp.,trichosporon_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
turicibacter species,turicibacter_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
veillonella atypica,veillonella_atypica,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
veillonella dispar,veillonella_dispar,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
veillonella parvula,veillonella_parvula,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
veillonella species,veillonella_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
veillonella species probable,veillonella_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
veillonella sp.,veillonella_sp,"anaerobic bacteria (nos, except for bacteroides, clostridium)"
aspergillus clavatus,aspergillus_clavatus,aspergillus (nos)
aspergillus nidulans,aspergillus_nidulans,aspergillus (nos)
aspergillus nidulans/ustus,aspergillus_nidulans/ustus,aspergillus (nos)
aspergillus ochraceus,aspergillus_ochraceus,aspergillus (nos)
"aspergillus not fumigatus, flavus, niger, or terreus",aspergillus_sp,aspergillus (nos)
aspergillus species,aspergillus_sp,aspergillus (nos)
filamentous fungus aspergillus species,aspergillus_sp,aspergillus (nos)
aspergillus sydowii,aspergillus_sydowii,aspergillus (nos)
aspergillus terreus,aspergillus_terreus,aspergillus (nos)
aspergillus terreus group,aspergillus_terreus,aspergillus (nos)
aspergillus versicolor,aspergillus_versicolor,aspergillus (nos)
aspergillus versicolor group,aspergillus_versicolor,aspergillus (nos)
aspergillus flavus,aspergillus_flavus,aspergillus flavus
aspergillus flavus group,aspergillus_flavus,aspergillus flavus
aspergillus fumigatus,aspergillus_fumigatus,aspergillus fumigatus
aspergillus fumigatus complex,aspergillus_fumigatus,aspergillus fumigatus
aspergillus fumigatus group,aspergillus_fumigatus,aspergillus fumigatus
aspergillus fumigatus previously identified,aspergillus_fumigatus,aspergillus fumigatus
aspergillus niger,aspergillus_niger,aspergillus niger
aspergillus niger group,aspergillus_niger,aspergillus niger
"530,000 bacillus cereus",bacillus_cereus,"bacillus (cereus, other species)"
