ord_value,organism_name,organism_category,,
"20,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"20,000 CGT ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"200,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
200000 ACINETOBACTER BAUMANII STRAIN 1,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"21,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"23,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"230,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"30,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
30000 ACINETOBACTER BAUMANII,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"320,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"350,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"350,000 ACINETOBACTER LWOFFI",acinetobacter_lwoffi,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"37,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"380,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"40,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"400,000 ACINETOBACTER BAUMANII STRAIN 2",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"480,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"50,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"500,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
520000 ACINETOBACTER BAUMANII,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"530,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"600,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"650,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"8,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
800 ACINETOBACTER BAUMANII,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"800,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
80000 ACINETOBACTER BAUMANII,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
"830,000 ACINETOBACTER BAUMANII",acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER BAUMANII COMPLEX,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER BAUMANII STRAIN 1,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER BAUMANII STRAIN 2,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER BAUMANII STRAIN 3,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER BAUMANNII,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER BAUMANNII COMPLEX,acinetobacter_baumanii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER JUNII,acinetobacter_junii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER LWOFFI,acinetobacter_lwoffi,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER PITTII,acinetobacter_pittii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER RADIORESISTENS,acinetobacter_radioresistens,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER SPECIES,acinetobacter_sp,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER SPECIES STRAIN 1,acinetobacter_sp,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER SPECIES STRAIN 2,acinetobacter_sp,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
ACINETOBACTER URSINGII,acinetobacter_ursingii,"Acinetobacter (baumanii, calcoaceticus, lwoffi, other species)",,
^ACHROMOBACTER (ALCALIGENES) XYLOSOXIDANS SUSCEPTIBILITY INVALID FOR THIS ISOLATE,achromobacter_xylosoxidans,Alcaligenes xylosoxidans,,
^ACHROMOBACTER (ALCALIGENES) XYLOSOXIDANS SUSCEPTIBILITY RESULTS NOT VALID FOR ^ THIS ORGANISM,achromobacter_xylosoxidans,Alcaligenes xylosoxidans,,
^ACHROMOBACTER XYLOSOXIDANS/DENITRIFICANS DISK DIFFUSION RESULTS NOT VALID FOR ^ THIS ORGANISM.,achromobacter_xylosoxidans,Alcaligenes xylosoxidans,,
ACHROMOBACTER (ALCALIGENES) XYLOSOXIDANS,achromobacter_xylosoxidans,Alcaligenes xylosoxidans,,
ACHROMOBACTER (ALCALIGENES) XYLOSOXIDANS STRAIN 1,achromobacter_xylosoxidans,Alcaligenes xylosoxidans,,
ACHROMOBACTER (ALCALIGENES) XYLOSOXIDANS STRAIN 2,achromobacter_xylosoxidans,Alcaligenes xylosoxidans,,
ACHROMOBACTER XYLOSOXIDANS/DENITRIFICANS,achromobacter_xylosoxidans,Alcaligenes xylosoxidans,,
Anaerococcus species,anaerococcus_sp,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
prevotella bivia,prevotella_bivia,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
prevotella disiens,prevotella_disiens,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
prevotella species,prevotella_sp,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
prevotella buccae,prevotella_buccae,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
eggerthella lenta,eggerthella_lenta,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
veillonella species,veillonella_sp,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
trichosporon species,trichosporon_sp,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
trichosporon asahii,trichosporon_asahii,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
atopobium species,atopobium_sp,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
prevotella melaninogenica,prevotella_melaninogenica,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
prevotella intermedia,prevotella_intermedia,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
prevotella denticola,prevotella_denticola,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
bifidobacterium species,bifidobacterium_sp,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
eggerthia catenaformis,eggerthia_catenaformis,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
parabacteroides distasonis,parabacteroides_distasonis,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
slackia exigua,slackia_exigua,"Anaerobic bacteria (NOS, except for Bacteroides, Clostridium)",,
aspergillus species,aspergillus_sp,Asperguillus (NOS),,
aspergillus terreus,aspergillus_terreus,Asperguillus (NOS),,
aspergillus flavus,aspergillus_flavus,Asperguillus Flavus,,
aspergillus fumigatus,aspergillus_fumigatus,Asperguillus Fumigatus,,
aspergillus niger,aspergillus_niger,Asperguillus Niger,,
"530,000 BACILLUS CEREUS",bacillus_cereus,"Bacillus (cereus, other species)",,
"bacillus species, not anthracis",bacillus_sp,"Bacillus (cereus, other species)",,
bacillus cereus,bacillus_cereus,"Bacillus (cereus, other species)",,
bacillus cereus group,Bacillus_cereus,"Bacillus (cereus, other species)",,
bacillus megaterium,bacillus_megaterium,"Bacillus (cereus, other species)",,
bacillus species,bacillus_sp,"Bacillus (cereus, other species)",,
bacteroides stercoris,bacteroides_stercoris,"Bacteroides (gracillis, uniformis, vulgaris, other species)",,
bacteroides fragilis,bacteroides_fragilis,"Bacteroides (gracillis, uniformis, vulgaris, other species)",,
bacteroides thetaiotaomicron,bacteroides_thetaiotaomicron,"Bacteroides (gracillis, uniformis, vulgaris, other species)",,
bacteroides vulgatus,bacteroides_vulgatus,"Bacteroides (gracillis, uniformis, vulgaris, other species)",,
bacteroides ovatus/xylanisolvens,bacteroides_xylanisolvens,"Bacteroides (gracillis, uniformis, vulgaris, other species)",,
bacteroides species,bacteroides_sp,"Bacteroides (gracillis, uniformis, vulgaris, other species)",,
bacteroides dorei/vulgatus,bacteroides_sp,"Bacteroides (gracillis, uniformis, vulgaris, other species)",,
moraxella catarrhalis,moraxella_catarrhalis,Branhamelia or Moraxella catarrhalis (other species),,
candida utilis,candida_utilis,Candida (NOS),,
candida kefyr,candida_kefyr,Candida (NOS),,
candida dubliniensis,candida_dubliniensis,Candida (NOS),,
candida auris,candida_auris,Candida (NOS),,
candida pelliculosa (hansenula anomala),candida_pelliculosa,Candida (NOS),,
candida pelliculosa,candida_pelliculosa,Candida (NOS),,
candida glabrata,candida_glabrata,Candida (NOS),,
Candida (NOS),candida_rugosa,Candida (NOS),,
candida guilliermondii,candida_guilliermondii,Candida (NOS),,
candida nivariensis,candida_nivariensis,Candida (NOS),,
candida lusitaniae,candida_lusitaniae,Candida (NOS),,
candida rugosa,candida_rugosa,Candida (NOS),,
candida pararugosa,candida_pararugosa,Candida (NOS),,
candida sp. not candida albicans,candida_sp,Candida (NOS),,
candida albicans,Candida_Albicans,Candida Albicans,,
Candida Krusei,Candida_krusei,Candida Krusei,,
candida parapsilosis complex,Candida _Parasilosis,Candida Parasilosis,,
Candida Parasilosis,Candida_Parasilosis,Candida Parasilosis,,
Candida Tropicalis,Candida_Tropicalis,Candida Tropicalis,,
^CITROBACTER FREUNDII ERTAPENEM AND MEROPENEM RESISTANT,citrobacter_freundii,"Citrobacter (freundii, other species)",,
^CITROBACTER FREUNDII NO1 AND NO2,citrobacter_freundii,"Citrobacter (freundii, other species)",,
^CITROBACTER FREUNDII PREVIOUSLY REPORTED AS E. COLI,citrobacter_freundii,"Citrobacter (freundii, other species)",,
^CITROBACTER FREUNDII RESISTANT TO ERTAPENEM AND MEROPENEM,citrobacter_freundii,"Citrobacter (freundii, other species)",,
"10,000 CITROBACTER FREUNDII",citrobacter_freundii,"Citrobacter (freundii, other species)",,
"10,000 CITROBACTER KOSERI",citrobacter_koseri,"Citrobacter (freundii, other species)",,
"100,000 CITROBACTER FREUNDII COMPLEX",citrobacter_freundii,"Citrobacter (freundii, other species)",,
"150,000 CITROBACTER FREUNDII",citrobacter_freundii,"Citrobacter (freundii, other species)",,
"280,000 CITROBACTER FREUNDII COMPLEX",citrobacter_freundii,"Citrobacter (freundii, other species)",,
"30,000 CITROBACTER FREUNDII",citrobacter_freundii,"Citrobacter (freundii, other species)",,
"30,000 CITROBACTER FREUNDII COMPLEX",citrobacter_freundii,"Citrobacter (freundii, other species)",,
"46,000 CITROBACTER KOSERI",citrobacter_koseri,"Citrobacter (freundii, other species)",,
"500,000 CITROBACTER FREUNDII",citrobacter_freundii,"Citrobacter (freundii, other species)",,
"750,000 CITROBACTER KOSERI",citrobacter_koseri,"Citrobacter (freundii, other species)",,
"780,000 CITROBACTER FREUNDII COMPLEX",citrobacter_freundii,"Citrobacter (freundii, other species)",,
"850,000 CITROBACTER KOSERI",citrobacter_koseri,"Citrobacter (freundii, other species)",,
CITROBACTER AMALONATICUS GROUP,citrobacter_amalonaticus,"Citrobacter (freundii, other species)",,
CITROBACTER AMALONATICUS GROUP STRAIN 1,citrobacter_amalonaticus,"Citrobacter (freundii, other species)",,
CITROBACTER AMALONATICUS GROUP STRAIN 2,citrobacter_amalonaticus,"Citrobacter (freundii, other species)",,
CITROBACTER FARMERI,citrobacter_farmeri,"Citrobacter (freundii, other species)",,
CITROBACTER FREUNDII,citrobacter_freundii,"Citrobacter (freundii, other species)",,
CITROBACTER FREUNDII COMPLEX,citrobacter_freundii,"Citrobacter (freundii, other species)",,
"CITROBACTER FREUNDII COMPLEX FOR SUSCEPTIBILITY RESULTS, REFER TO CULTURE S66410",citrobacter_freundii,"Citrobacter (freundii, other species)",,
CITROBACTER FREUNDII STRAIN 1,citrobacter_freundii,"Citrobacter (freundii, other species)",,
CITROBACTER FREUNDII STRAIN 2,citrobacter_freundii,"Citrobacter (freundii, other species)",,
CITROBACTER KOSERI,citrobacter_koseri,"Citrobacter (freundii, other species)",,
CITROBACTER KOSERI AND AEROBIC BOTTLES X2,citrobacter_koseri,"Citrobacter (freundii, other species)",,
CITROBACTER KOSERI RESISTANT TO AMPICILLIN/SULBACTAM.,citrobacter_koseri,"Citrobacter (freundii, other species)",,
CITROBACTER KOSERI STRAIN 1,citrobacter_koseri,"Citrobacter (freundii, other species)",,
CITROBACTER KOSERI STRAIN 2,citrobacter_koseri,"Citrobacter (freundii, other species)",,
CITROBACTER KOSERI STRAIN 3,citrobacter_koseri,"Citrobacter (freundii, other species)",,
clostridium sordellii,clostridium_sordellii,Clostridium (all species except difficile),,
clostridium sp. not perfringens,clostridium_sp,Clostridium (all species except difficile),,
clostridium perfringens,clostridium_perfringens,Clostridium (all species except difficile),,
clostridium clostridioforme,clostridium_clostridioforme,Clostridium (all species except difficile),,
clostridium tertium,clostridium_tertium,Clostridium (all species except difficile),,
clostridium paraputrificum,clostridium_paraputrificum,Clostridium (all species except difficile),,
clostridium innocuum,clostridium_innocuum,Clostridium (all species except difficile),,
clostridium sporogenes,clostridium_sporogenes,Clostridium (all species except difficile),,
clostridioides difficile (formerly clostridium difficile),clostridioides_difficile ,Clostridium diificile,,
Corynebacterium amycolatum,corynebacterium_amycolatum,Corynebacterium (all non-diptheria species),,
Corynebacterium aurimucosum,corynebacterium_aurimucosum,Corynebacterium (all non-diptheria species),,
Corynebacterium coyleae,corynebacterium_coyleae,Corynebacterium (all non-diptheria species),,
CORYNEBACTERIUM COYLEAE,corynebacterium_coyleae,Corynebacterium (all non-diptheria species),,
Corynebacterium jeikeium,corynebacterium_jeikeium,Corynebacterium (all non-diptheria species),,
Corynebacterium species,corynebacterium_sp,Corynebacterium (all non-diptheria species),,
Corynebacterium striatum,corynebacterium_striatum,Corynebacterium (all non-diptheria species),,
Corynebacterium tuberculostearicum,corynebacterium_tuberculostearicum,Corynebacterium (all non-diptheria species),,
Corynebacterium urealyticum,corynebacterium_urealyticum,Corynebacterium (all non-diptheria species),,
dermabacter hominis,dermabacter_hominis,Corynebacterium (all non-diptheria species),,
cryptococcus neoformans/gattii,cryptococcus_neoformans,Cryptococcus Species,,
cryptococcus neoformans,cryptococcus_neoformans,Cryptococcus Species,,
" 140,000 ENTEROBACTER CLOACAE COMPLEX RESISTANT TO MEROPENEM STRAIN 2",enterobacter_cloacae,Enterobacter,,
" 190,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
" 200,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
" 30,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
" 34,000 ENTEROBACTER AEROGENES",enterobacter_aerogenes,Enterobacter,,
" 500,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"^10,000 ENTEROBACTER CLOACAE COMPLEX PIPERACILLIN/TAZOBACTAM IS RESISTANT.",enterobacter_cloacae,Enterobacter,,
"^100,000 ENTEROBACTER CLOACAE S42485 2/16/13",enterobacter_cloacae,Enterobacter,,
^300 ENTEROBACTER CLOACAE CEFEPIME RESISTANT,enterobacter_cloacae,Enterobacter,,
"^520,000 ENTEROBACTER CLOACAE COMPLEX RESISTANT TO MEROPENEM",enterobacter_cloacae,Enterobacter,,
^ENTEROBACTER CLOACAE NO1 AND NO2,enterobacter_cloacae,Enterobacter,,
^ENTEROBACTER CLOACAE STRAIN 1 X2,enterobacter_cloacae,Enterobacter,,
^ENTEROBACTER CLOACAE STRAIN 2 X2,enterobacter_cloacae,Enterobacter,,
^ENTEROBACTER CLOACAE STRAIN 3 X2,enterobacter_cloacae,Enterobacter,,
^ENTEROBACTER CLOACAE X 2,enterobacter_cloacae,Enterobacter,,
"10,000 CGT ENTEROBACTER CLOACAE COMPLEX",enterobacter_cloacae,Enterobacter,,
"10,000 ENTEROBACTER AEROGENES",enterobacter_aerogenes,Enterobacter,,
"10,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"10,000 ENTEROBACTER CLOACAE COMPLEX",enterobacter_cloacae,Enterobacter,,
"10,000 ENTEROBACTER CLOACAE STRAIN 1",enterobacter_cloacae,Enterobacter,,
"10,000 ENTEROBACTER CLOACAE STRAIN 2",enterobacter_cloacae,Enterobacter,,
100 ENTEROBACTER CLOACAE COMPLEX,enterobacter_cloacae,Enterobacter,,
10000 ENTEROBACTER CLOACAE COMPLEX,enterobacter_cloacae,Enterobacter,,
"130,000 ENTEROBACTER SPECIES",enterobacter_sp,Enterobacter,,
"190,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"2,000 ENTEROBACTER CLOACAE COMPLEX",enterobacter_cloacae,Enterobacter,,
"20,000  ENTEROBACTER CLOACAE COMPLEX",enterobacter_cloacae,Enterobacter,,
"20,000 CGT ENTEROBACTER CLOACAE COMPLEX",enterobacter_cloacae,Enterobacter,,
"20,000 ENTEROBACTER AEROGENES",enterobacter_aerogenes,Enterobacter,,
"20,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"20,000 ENTEROBACTER CLOACAE STRAIN 1",enterobacter_cloacae,Enterobacter,,
"20,000 ENTEROBACTER SPECIES",enterobacter_sp,Enterobacter,,
200 ENTEROBACTER AEROGENES,enterobacter_aerogenes,Enterobacter,,
"200,000 ENTEROBACTER AEROGENES",enterobacter_aerogenes,Enterobacter,,
"200,000 ENTEROBACTER CLOACAE STRAIN 2",enterobacter_cloacae,Enterobacter,,
2000 ENTEROBACTER AEROGENES,enterobacter_aerogenes,Enterobacter,,
"21,000 ENTEROBACTER AEROGENES",enterobacter_aerogenes,Enterobacter,,
"22,000 ENTEROBACTER AEROGENES",enterobacter_aerogenes,Enterobacter,,
2400 CFML ENTEROBACTER CLOACAE COMPLEX,enterobacter_cloacae,Enterobacter,,
"290,000 ENTEROBACTER AEROGENES",enterobacter_aerogenes,Enterobacter,,
"30,000 CFML ENTEROBACTER AEROGENES",enterobacter_aerogenes,Enterobacter,,
"30,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"30,000 ENTEROBACTER CLOACAE COMPLEX",enterobacter_cloacae,Enterobacter,,
"30,000 ENTEROBACTER CLOACAE STRAIN 2",enterobacter_cloacae,Enterobacter,,
"30,000 ENTEROBACTER CLOACAE STRAIN 3",enterobacter_cloacae,Enterobacter,,
"300,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"310,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"330,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"380,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"40,000 ENTEROBACTER AEROGENES",enterobacter_aerogenes,Enterobacter,,
"40,000 ENTEROBACTER CLOACAE COMPLEX",enterobacter_cloacae,Enterobacter,,
"40,000 ENTEROBACTER CLOACAE STRAIN 2",enterobacter_cloacae,Enterobacter,,
"410,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"45,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"50,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
5000 ENTEROBACTER CLOACAE STRAIN 2,enterobacter_cloacae,Enterobacter,,
"550,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"60,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
600 ENTEROBACTER CLOACAE,enterobacter_cloacae,Enterobacter,,
"7,000 ENTEROBACTER AEROGENES",enterobacter_aerogenes,Enterobacter,,
"70,000 ENTEROBACTER CLOACAE",enterobacter_cloacae,Enterobacter,,
"70,000 ENTEROBACTER CLOACAE COMPLEX",enterobacter_cloacae,Enterobacter,,
71000 ENTEROBACTER CLOACAE COMPLEX,enterobacter_cloacae,Enterobacter,,
"850,000 ENTEROBACTER CLOACAE COMPLEX RESISTANT TO MEROPENEM STRAIN 1",enterobacter_cloacae,Enterobacter,,
900 ENTEROBACTER AEROGENES,enterobacter_aerogenes,Enterobacter,,
9000 ENTEROBACTER CLOACAE,enterobacter_cloacae,Enterobacter,,
ENTEROBACTER AEROGENES,enterobacter_aerogenes,Enterobacter,,
ENTEROBACTER AEROGENES STRAIN 1,enterobacter_aerogenes,Enterobacter,,
ENTEROBACTER AEROGENES STRAIN 2,enterobacter_aerogenes,Enterobacter,,
ENTEROBACTER AEROGENES STRAIN 3,enterobacter_aerogenes,Enterobacter,,
ENTEROBACTER AMNIGENUS,enterobacter_amnigenus,Enterobacter,,
ENTEROBACTER ASBURIAE,enterobacter_asburiae,Enterobacter,,
ENTEROBACTER CANCEROGENUS,enterobacter_cancerogenus,Enterobacter,,
ENTEROBACTER CLOACAE,enterobacter_cloacae,Enterobacter,,
ENTEROBACTER CLOACAE COMPLEX,enterobacter_cloacae,Enterobacter,,
ENTEROBACTER CLOACAE COMPLEX STRAIN 1,enterobacter_cloacae,Enterobacter,,
ENTEROBACTER CLOACAE COMPLEX STRAIN 2,enterobacter_cloacae,Enterobacter,,
ENTEROBACTER CLOACAE ENTEROBACTER ASBURIAE,enterobacter_cloacae,Enterobacter,,
ENTEROBACTER CLOACAE NO KPC CARBAPENEMASE DETECTED BY PCR. THIS TEST WAS  DEVELOPED AND ITS PERFORMANCE CHARACTERISTICS WERE DETERMINED BY THE UNIVERSITY  OF CHICAGO MEDICAL CENTER MICROBIOLOGY LAB. I,enterobacter_cloacae,Enterobacter,,
ENTEROBACTER CLOACAE STRAIN 1,enterobacter_cloacae,Enterobacter,,
ENTEROBACTER CLOACAE STRAIN 2,enterobacter_cloacae,Enterobacter,,
ENTEROBACTER CLOACAE STRAIN 3,enterobacter_cloacae,Enterobacter,,
"ENTEROBACTER CLOACAE SUSCEPTIBLE TO CEFEPIME AND IMIPENEM, INTERMEDIATE TO  ERTAPENEM",enterobacter_cloacae,Enterobacter,,
ENTEROBACTER CLOACAE SUSCEPTIBLE TO IMIPENEM.,enterobacter_cloacae,Enterobacter,,
ENTEROBACTER GERGOVIAE,enterobacter_gergoviae,Enterobacter,,
ENTEROBACTER SPECIES,enterobacter_sp,Enterobacter,,
ENTEROBACTER SPECIES STRAIN 2,enterobacter_sp,Enterobacter,,
ENTEROBACTER SPECIES STRAIN 3,enterobacter_sp,Enterobacter,,
PANTOEA (ENTEROBACTER) AGGLOMERANS,enterobacter_agglomerans,Enterobacter,,
PANTOEA (ENTEROBACTER) AGGLOMERANS STRAIN 1,enterobacter_agglomerans,Enterobacter,,
PANTOEA (ENTEROBACTER) AGGLOMERANS STRAIN 2,enterobacter_agglomerans,Enterobacter,,
PLURALIBACTER GERGOVIAE (FORMERLY ENTEROBACTER GERGOVIAE),pluralibacter_gergoviae,Enterobacter,,
PRV ENTEROBACTER AEROGENES,enterobacter_aerogenes,Enterobacter,,
" 10,000 ENTEROCOCCUS FAECALIS",enterococcus_faecalis,Enterococcus (all species),,
" 100,000 ENTEROCOCCUS RAFFINOSUS",enterococcus_raffinosus,Enterococcus (all species),,
