location_category,location_name,n,site
Ward,JHH ZAYED 12E,10839,JHU
Ward,JHH WEINBERG 4CD,10682,JHU
Ward,HCGH 4P ACUTE,10411,JHU
Ward,JHH NELSON 7,9114,JHU
Ward,HCGH 2P SURGERY,8997,JHU
Ward,JHH ZAYED 11E,8902,JHU
Ward,JHH NELSON 8,8656,JHU
Ward,JHH NELSON 3,8327,JHU
Ward,JHH NELSON 4,8327,JHU
Ward,JHH NELSON 6,8008,JHU
Ward,JHH ZAYED 11W,7953,JHU
Ward,HCGH 1 NORTH,7744,JHU
Ward,BMC NEUROSCIENCES UNIT,7467,JHU
Ward,SH 2400 IMCU,7467,JHU
Ward,JHH ZAYED 12W,7066,JHU
Ward,HCGH 4 SOUTH/ONC,6660,JHU
Ward,JHH MEYER 8,6529,JHU
Ward,JHH MEYER 9,6273,JHU
Ward,JHH ZAYED 8E,6272,JHU
Ward,HCGH 2S JAS,5909,JHU
Ward,ZDEAC SH PROCARE 3200,5281,JHU
Ward,SMH 5B,5129,JHU
Ward,SH 4300 ADULT MEDICAL,5104,JHU
Ward,SMH 7A,4895,JHU
Ward,SH 3800 ACUTE MEDICAL,4638,JHU
Ward,ZDEAC SH CDU 6400,4638,JHU
Ward,SH ONCOLOGY 6300,4533,JHU
Ward,HCGH OBSERVATION,4235,JHU
Ward,DEAC JHH ZAYED 2,4062,JHU
Ward,SMH 5A,4008,JHU
Ward,SH 3700 ACUTE MEDICAL,3755,JHU
Ward,JHH ZAYED 12W BRU,3733,JHU
Ward,ZDEAC SH ACU MED 4400,3681,JHU
Ward,JHH MARBURG 2,3673,JHU
Ward,ZDEAC JHH WBG 4A,3645,JHU
Ward,JHH OSLER-5,3499,JHU
Ward,BMC BURN WOUND UNIT,3460,JHU
Ward,JHH MARBURG-3,3396,JHU
Ward,JHH H3-O3,3338,JHU
Ward,DEAC JHH PACW,3130,JHU
Ward,BMC AMU,2894,JHU
Ward,JHH ZAYED 12W NIMC,2842,JHU
Ward,SMH 7B,2805,JHU
Ward,SH 4800 SURGICAL,2758,JHU
Ward,SMH 6B,2750,JHU
Ward,JHH MEYER 7,2749,JHU
Ward,JHH WEINBERG 4B,2594,JHU
Ward,SMH 6A,2512,JHU
Ward,JHH MEYER 3,2482,JHU
Ward,SH 4700 SURGICAL,2321,JHU
Ward,ZDEAC SH ONCOLOGY 2400,1996,JHU
Ward,BMC WENZ ORTHO CENTER,1869,JHU
Ward,SH ORTHO NRO 2100/2200,1794,JHU
Ward,DEAC JHH ORH-W,1689,JHU
Ward,SH 7300 BEHAVIORAL HLT,1658,JHU
Ward,SH 3200 MED/SURG/TELE,1649,JHU
Ward,BMC IP PSYCHIATRY,1613,JHU
Ward,BVBCP BURTON 01,1591,JHU
Ward,JHH WEINBERG 5D,1549,JHU
Ward,SH 6400 CDU,1466,JHU
Ward,JHH H2-O2,1444,JHU
Ward,ZDEAC JHH WEINBERG 4D,1416,JHU
Ward,BMC MEDICINE NP3,1408,JHU
Ward,JHH ZAYED 8W OB,1407,JHU
Ward,JHH BLOOMBERG 10N,1383,JHU
Ward,ZDEAC JHH WEINBERG 4C,1375,JHU
Ward,ZDEAC JHH HEM ONC,1292,JHU
Ward,BVBCP BURTON 1,1286,JHU
Ward,JHH WEINBERG 5C,1264,JHU
Ward,JHH WEINBERG 5A,1219,JHU
Ward,SMSNF THREE NORTH,1029,JHU
Ward,JHH MEYER 5,1022,JHU
Ward,JHH WEINBERG 5B,987,JHU
Ward,JHH MEYER 6,918,JHU
Ward,SMSNF THREE SOUTH,890,JHU
Ward,SH 4400 ONCOLOGY,886,JHU
Ward,JHH BLOOMBERG 11S,874,JHU
Ward,JHH HALSTED-4,862,JHU
Ward,HCGH PSYCH OVERFLOW,834,JHU
Ward,ZDEAC JH ZB09ECTU,778,JHU
Ward,BMC MEDICINE BURTON 4,757,JHU
Ward,SMH SIX WEST,713,JHU
Ward,DEAC JHH MEYER 7,671,JHU
Ward,DEAC JHH MEYER 9,647,JHU
Ward,DEAC JHH MEYER 8,645,JHU
Ward,JHH ZAYED 12E EMU,643,JHU
Ward,SMH FOUR EAST,642,JHU
Ward,SMH PSYCH OP-ECT/TMS,615,JHU
Ward,SMH SIX EAST,608,JHU
Ward,DEAC JHH OSLER-4,578,JHU
Ward,SMH SEVEN WEST,572,JHU
Ward,ZDEAC SH MNPR PERI4200,546,JHU
Ward,SMH FIVE WEST,471,JHU
Ward,DEAC JHH HALSTED-8,458,JHU
Ward,HCGH PSYCHIATRY,454,JHU
Ward,JHH OSLER-8,432,JHU
Ward,BMC OB A2W,430,JHU
Ward,SMH 3A L&D,429,JHU
Ward,JHH MEYER 4,419,JHU
Ward,BMC MEDICINE BURTON 2,392,JHU
Ward,JHH BLOOMBERG 9N,390,JHU
Ward,SMH FIVE EAST,362,JHU
Ward,HCGH 2N MCU,342,JHU
Ward,DEAC JHH JHO-P,339,JHU
Ward,SMH 2 EAST,334,JHU
Ward,JHH WEINBERG 4AB,325,JHU
Ward,JHH CHU4,280,JHU
Ward,SH 5200 TRANSITION,268,JHU
Ward,KKI PCNU,250,JHU
Ward,JHH OETC,240,JHU
Ward,BMC WENZ OVERFLOW,236,JHU
Ward,DEAC JHH BLOOMBERG 1N,137,JHU
Ward,BMC A2C ORTHO CENTER,121,JHU
Ward,ZDEAC BVBCP BURTON 2,117,JHU
Ward,ZDEAC JHH MBG 9E,108,JHU
Ward,DEAC JHH ZAYED 4,92,JHU
Ward,JHH BLOOMBERG 10S,90,JHU
Ward,SMH 4A,88,JHU
Ward,SMH 4B,66,JHU
Ward,BMC MEDICINE NP4,56,JHU
Ward,DEAC JHH ZAYED 8E LDRR,30,JHU
Ward,DEAC JHH INTENTRTMT,27,JHU
Ward,DEAC JHH ZAYED 8E LDOR,19,JHU
Ward,ZDEAC SMH THREE WEST,13,JHU
Ward,JHH 4N ADULT,11,JHU
Ward,SMH THREE EAST,11,JHU
Ward,JHH ZAYED 5 ESR,9,JHU
Ward,DEAC JHH HALSTED-3,8,JHU
Ward,DEAC JHH PICO,6,JHU
Ward,SMH SEVEN EAST,6,JHU
Ward,DEAC JHH WEINBERG 5A,5,JHU
Ward,ACH 7N SURG/NEUR,4,JHU
Ward,JHH ZAYED 8W NURSERY,4,JHU
Ward,DEAC JHH WEINBERG 5D,3,JHU
Ward,DEAC JHH WEINBERG 5B,1,JHU
Ward,HCGH 1CX PEDIATRICS,1,JHU
Ward,JHH BLOOMBERG 8N,1,JHU
Ward,JHH PEDS WEINBERG 4B,1,JHU
Ward,SH 1000 PEDIATRIC CNT,1,JHU
