lab_category,lab_name,n,site
basophil,LAB HEM BASOPHILS NON-WAM,51,JHU
basophil,BASOPHILS - REL (DIFF),12,JHU
bilirubin_conjugated,"BILIRUBIN,DIRECT",41843,JHU
bilirubin_conjugated,"LAB CHEM BILIRUBIN,DIRECT",29863,JHU
bilirubin_conjugated,"BILIRUBIN, DIRECT",4029,JHU
bilirubin_conjugated,"BILIRUBIN,DIRECT, EXTERNAL",527,JHU
bilirubin_conjugated,BILIRUBIN DIRECT,51,JHU
bilirubin_conjugated,"BILI, DIRECT",24,JHU
bilirubin_conjugated,BILIRUBIN CONJUGATED,4,JHU
bilirubin_conjugated,DIRECT BILIRUBIN,3,JHU
bilirubin_total,"BILIRUBIN,TOTAL",1051341,JHU
bilirubin_total,"LAB CHEM BILIRUBIN,TOTAL",705812,JHU
bilirubin_total,"BILIRUBIN, TOTAL",129404,JHU
bilirubin_total,"BILIRUBIN,TOTAL, EXTERNAL",17706,JHU
bilirubin_total,"BILI, TOTAL",2988,JHU
bilirubin_total,BILIRUBIN TOTAL,568,JHU
bilirubin_total,TOTAL BILIRUBIN,203,JHU
bilirubin_total,BILI TOTAL,1,JHU
bilirubin_unconjugated,"BILIRUBIN, INDIRECT",620,JHU
bilirubin_unconjugated,BILIRUBIN UNCONJUGATED,209,JHU
bilirubin_unconjugated,"LAB CHEM BILIRUBIN, INDIRECT",144,JHU
bun,UREA NITROGEN,1737460,JHU
bun,LAB CHEM UREA NITROGEN,1076732,JHU
bun,BUN,113823,JHU
bun,UREA NITROGEN (BUN),33319,JHU
bun,"UREA NITROGEN, EXTERNAL",19763,JHU
bun,BLOOD UREA NITROGEN,4,JHU
calcium,CALCIUM,1778408,JHU
calcium,LAB CHEM CALCIUM,1081192,JHU
calcium,"CALCIUM, SERUM",109979,JHU
calcium,"CALCIUM, EXTERNAL",19912,JHU
calcium,"CALCIUM,TOTAL",142,JHU
calcium,CA,2,JHU
carbon_dioxide,CARBON DIOXIDE,1770137,JHU
carbon_dioxide,LAB CHEM CARBON DIOXIDE,1074798,JHU
carbon_dioxide,"CARBON DIOXIDE, TOTAL",109789,JHU
carbon_dioxide,"CARBON DIOXIDE, EXTERNAL",19438,JHU
carbon_dioxide,BICARBONATE,3286,JHU
carbon_dioxide,LAB CHEM CO2 - CATEGORY,1695,JHU
carbon_dioxide,CO2,637,JHU
carbon_dioxide,CARBON DIOXIDE (BICARBONATE),142,JHU
chloride,CHLORIDE,1774227,JHU
chloride,LAB CHEM CHLORIDE,1076385,JHU
chloride,"CHLORIDE, SERUM",109798,JHU
chloride,"CHLORIDE, EXTERNAL",19664,JHU
chloride,POCT EPOC CHLORIDE,13420,JHU
chloride,"CHLORIDE, WHOLE BLOOD",9106,JHU
chloride,"LAB BG CHLORIDE, WHOLE BLOOD",4568,JHU
chloride,ISTAT CHLORIDE,1589,JHU
chloride,"POCT CHLORIDE, WHOLE BLOOD",271,JHU
chloride,LAB CHEM CHLORIDE - CATEGORY,185,JHU
chloride,POCT ISTAT CHLORIDE,29,JHU
chloride,POC CHLORIDE (CL),2,JHU
creatinine,"CREATININE,SERUM",1611248,JHU
creatinine,LAB CHEM CREATININE,1078347,JHU
creatinine,"CREATININE, PLASMA",130186,JHU
creatinine,"CREATININE, SERUM",110028,JHU
creatinine,CREATININE,39455,JHU
creatinine,"CREATININE,WHOLE BLOOD",27736,JHU
creatinine,"CREATININE, EXTERNAL",20742,JHU
creatinine,"LAB BG CREATININE,WHOLE BLOOD",9997,JHU
creatinine,POCT CREATININE,8700,JHU
creatinine,POCT EPOC CREATININE,7771,JHU
creatinine,"CREATININE, POC",7342,JHU
creatinine,ISTAT CREATININE,1637,JHU
creatinine,LAB CHEM CREATININE EXT,373,JHU
creatinine,"LAB CHEM CREATININE,SER/PLAS - SYNC'D VAL",162,JHU
creatinine,LAB CHEM CREATININE EXT (KPMA),137,JHU
creatinine,LAB CHEM CREATININE - CATEGORY,125,JHU
creatinine,LAB CHEM CREATININE EXT (MHS),80,JHU
creatinine,SERUM CREATININE,52,JHU
creatinine,LAB CHEM CREATININE EXT (WH),30,JHU
creatinine,"POCT ISTAT CREATININE, ARTERIAL",30,JHU
creatinine,"POC CREATININE, BLOOD",21,JHU
creatinine,LAB CHEM CREATININE EXT (UMMS),14,JHU
creatinine,"CREATINE, SERUM",11,JHU
creatinine,LAB CHEM CREATININE EXT (AH),8,JHU
creatinine,LAB CHEM CREATININE EXT (LH),8,JHU
creatinine,POC CREATININE,2,JHU
creatinine,LAB CHEM CREATININE EXT (GBMC),1,JHU
creatinine,"POCT ISTAT CREATININE, VENOUS",1,JHU
crp,C-REACTIVE PROTEIN,54931,JHU
crp,LAB CHEM C-REACTIVE PROTEIN,25082,JHU
crp,"C-REACTIVE PROTEIN, QUANT",5436,JHU
crp,LAB CHEM CRP,1314,JHU
crp,"C-REACTIVE PROTEIN, EXTERNAL",554,JHU
crp,CRP,169,JHU
eosinophils,EOSINOPHIL %,899653,JHU
eosinophils,LAB HEM EOSINOPHIL %,600899,JHU
eosinophils,EOS,91030,JHU
eosinophils,EOSINOPHILS,1333,JHU
eosinophils,EOSINOPHIL (%),55,JHU
esr,ERYTHROCYTE SED RATE,37041,JHU
esr,LAB HEM ERYTHROCYTE SED RATE,18610,JHU
esr,SEDIMENTATION RATE-WESTERGREN,5324,JHU
esr,SED RATE BY MODIFIED WESTERGREN,1125,JHU
esr,SEDIMENTATION RATE - STROKE,1106,JHU
esr,LAB HEM STROKE ERYTHROCYTE SED RATE,743,JHU
esr,"ERYTHROCYTE SED RATE, EXTERNAL",449,JHU
esr,ESR (SEDIMENTATION RATE),77,JHU
esr,"ESR, WESTERGREN",61,JHU
esr,SED RATE,50,JHU
esr,ERTH.SED.RATE,7,JHU
esr,"ESR, WESTERGREN, MANUAL",3,JHU
ferritin,FERRITIN,50786,JHU
ferritin,LAB CHEM FERRITIN,28040,JHU
ferritin,"FERRITIN, SERUM",3927,JHU
ferritin,"FERRITIN, EXTERNAL",347,JHU
glucose_serum,GLUCOSE,1775119,JHU
glucose_serum,LAB CHEM GLUCOSE,1077098,JHU
glucose_serum,"GLUCOSE, SERUM",106467,JHU
glucose_serum,"GLUCOSE, EXTERNAL",19866,JHU
glucose_serum,"GLUCOSE, PLASMA",3416,JHU
glucose_serum,"GLUCOSE,PLASMA",1,JHU
hemoglobin,HEMOGLOBIN,1727914,JHU
hemoglobin,LAB HEM HEMOGLOBIN,997643,JHU
hemoglobin,"HEMOGLOBIN, TOTAL, WB",290445,JHU
hemoglobin,"LAB BG HEMOGLOBIN, TOTAL, WB",135546,JHU
hemoglobin,"POCT HEMOGLOBIN, TOTAL, WB",30103,JHU
hemoglobin,"HEMOGLOBIN, EXTERNAL",19905,JHU
hemoglobin,POCT HGB,6392,JHU
hemoglobin,HGB POINT OF CARE,3646,JHU
hemoglobin,HGB,1,JHU
inorganic_phosphate,PHOSPHATE,663180,JHU
inorganic_phosphate,LAB CHEM PHOSPHORUS,507796,JHU
inorganic_phosphate,"PHOSPHORUS, SERUM",27393,JHU
inorganic_phosphate,PHOSPHATE (AS PHOSPHORUS),8204,JHU
inorganic_phosphate,"PHOSPHATE, EXTERNAL",6591,JHU
inorganic_phosphate,PHOSPHORUS,155,JHU
inorganic_phosphate,PHOSPHOROUS LEVEL,1,JHU
inr,"INR, PROTIME",465627,JHU
inr,"LAB COAG INR, PROTIME",240185,JHU
inr,"INR, PROTIME, EXTERNAL",35863,JHU
inr,INR,35457,JHU
inr,POC INR,30134,JHU
inr,INR POINT OF CARE,16309,JHU
inr,POCT INR,14737,JHU
inr,INR PPP,9591,JHU
inr,INTER. NORMALIZED RATIO,23,JHU
lactic_acid,"LACTATE, WHOLE BLOOD",333847,JHU
lactic_acid,"LAB BG LACTATE, WHOLE BLOOD",200683,JHU
lactic_acid,"LACTATE, PLASMA",60039,JHU
lactic_acid,"LAB CHEM LACTATE, PLASMA",41818,JHU
lactic_acid,"POCT LACTATE, WHOLE BLOOD",28442,JHU
lactic_acid,POCT EPOC LACTIC ACID,10505,JHU
lactic_acid,ISTAT LACTIC ACID,5903,JHU
lactic_acid,POCT ISTAT LACTIC ACID,99,JHU
lactic_acid,"LACTIC ACID, PLASMA",49,JHU
lymphocyte,LYMPHOCYTES %,896693,JHU
lymphocyte,LAB HEM LYMPHOCYTES %,600904,JHU
lymphocyte,LYMPHS,91042,JHU
lymphocyte,LYMPHOCYTE %,2963,JHU
lymphocyte,"LYMPHOCYTES %, EXTERNAL",1671,JHU
lymphocyte,LYMPHOCYTE (%),56,JHU
lymphocyte,LYMPH %,2,JHU
magnesium,MAGNESIUM,860727,JHU
magnesium,LAB CHEM MAGNESIUM,582465,JHU
magnesium,"MAGNESIUM, SERUM",32973,JHU
magnesium,"MAGNESIUM, EXTERNAL",9488,JHU
magnesium,MAGNESIUM LEVEL,77,JHU
monocyte,MONOCYTE %,899651,JHU
monocyte,LAB HEM MONOCYTE %,600899,JHU
monocyte,MONOCYTES,184643,JHU
monocyte,LAB HEM MONOCYTES,81053,JHU
monocyte,LAB HEM MONOCYTES NON-WAM,130,JHU
monocyte,MONOCYTE (%),55,JHU
monocyte,MONOCYTES - REL (DIFF),12,JHU
monocyte,MONO %,2,JHU
neutrophil,NEUTROPHIL %,899712,JHU
neutrophil,LAB HEM NEUTROPHIL %,600893,JHU
neutrophil,NEUTROPHILS,91030,JHU
paco2,NA,579289,JHU
pao2,NA,571560,JHU
pco2_venous,"PCO2, NON-ARTERIAL",242983,JHU
pco2_venous,"LAB BG PCO2, VENOUS",131990,JHU
pco2_venous,"LAB BG PCO2, MIXED VENOUS",20116,JHU
pco2_venous,"POCT PCO2, NON-ARTERIAL",6306,JHU
pco2_venous,"POCT EPOC PCO2, NON ARTERIAL",1931,JHU
pco2_venous,"ISTAT P-CARBON DIOXIDE, NON ARTERIAL",1540,JHU
pco2_venous,POCT ISTAT PCO2 VENOUS,27,JHU
ph_arterial,NA,560030,JHU
ph_venous,"PH, NON-ARTERIAL",242989,JHU
ph_venous,"LAB BG PH, VENOUS",132016,JHU
ph_venous,LAB BG PH MIXED VENOUS,20116,JHU
ph_venous,"POCT PH, NON-ARTERIAL",6301,JHU
ph_venous,"POCT EPOC PH, NON ARTERIAL",1930,JHU
ph_venous,"ISTAT PH, NON ARTERIAL",1540,JHU
ph_venous,"POCT ISTAT PH, NON ARTERIAL",27,JHU
platelet_count,PLATELET COUNT,1617760,JHU
platelet_count,LAB HEM PLATELET COUNT,994822,JHU
platelet_count,PLATELETS,103465,JHU
platelet_count,"PLATELET COUNT, EXTERNAL",19596,JHU
platelet_count,PLTS,142,JHU
platelet_count,PLATELET,3,JHU
platelet_count,PLT,2,JHU
potassium,POTASSIUM,1658936,JHU
potassium,LAB CHEM POTASSIUM,935433,JHU
potassium,"POTASSIUM, WHOLE BLOOD",345862,JHU
potassium,"LAB BG POTASSIUM, WHOLE BLOOD",184898,JHU
potassium,"POTASSIUM, PLASMA",136527,JHU
potassium,"LAB CHEM POTASSIUM,PLASMA",113088,JHU
potassium,"POTASSIUM, SERUM",109919,JHU
potassium,"POCT POTASSIUM, WHOLE BLOOD",28826,JHU
potassium,LAB CHEM POTASSIUM - CATEGORY,22467,JHU
potassium,"POTASSIUM, EXTERNAL",20355,JHU
potassium,POCT EPOC POTASSIUM,13424,JHU
potassium,ISTAT POTASSIUM,3936,JHU
potassium,POCT ISTAT POTASSIUM,98,JHU
potassium,POC POTASSIUM (K),2,JHU
potassium,POTASSIUM PLASMA,1,JHU
procalcitonin,PROCALCITONIN,15986,JHU
procalcitonin,LAB CHEM PROCALCITONIN,10732,JHU
procalcitonin,LAB SPCH PROCALCITONIN (BMC ONLY),1303,JHU
pt,PROTHROMBIN TIME,510291,JHU
pt,LAB COAG PROTHROMBIN TIME,240184,JHU
pt,"PROTHROMBIN TIME, EXTERNAL",7516,JHU
pt,PROTIME,374,JHU
pt,PT,8,JHU
ptt,ACT PARTIAL THROMBOPLASTIN TIME,446401,JHU
ptt,LAB COAG ACT PARTIAL THROMBOPLASTIN TIME,264513,JHU
ptt,APTT,2545,JHU
ptt,"PARTIAL THROMBOPLASTIN TIME, ACTIVATED",575,JHU
ptt,"PARTIAL THROMBOPLASTIN TIME, EXTERNAL",90,JHU
ptt,PTT,10,JHU
so2_mixed_venous,"OXYGEN SATURATION,MIXED A/V",22647,JHU
so2_mixed_venous,"LAB BG OXYGEN SATURATION,MIXED VENOUS",20088,JHU
sodium,SODIUM,1791256,JHU
sodium,LAB CHEM SODIUM,1089591,JHU
sodium,"SODIUM, WHOLE BLOOD",245429,JHU
sodium,"SODIUM, SERUM",109847,JHU
sodium,"LAB BG SODIUM, WHOLE BLOOD",108038,JHU
sodium,"POCT SODIUM, WHOLE BLOOD",28864,JHU
sodium,POCT EPOC SODIUM,13425,JHU
sodium,ISTAT SODIUM,3936,JHU
sodium,LAB CHEM SODIUM - CATEGORY,111,JHU
sodium,POCT ISTAT SODIUM,98,JHU
sodium,POC SODIUM (NA),2,JHU
total_protein,"PROTEIN,TOTAL",1049799,JHU
total_protein,"LAB CHEM PROTEIN,TOTAL",704389,JHU
total_protein,"PROTEIN, TOTAL, SERUM",98363,JHU
total_protein,"PROTEIN, TOTAL",31551,JHU
total_protein,"PROTEIN,TOTAL, EXTERNAL",17691,JHU
total_protein,TOTAL PROTEIN,3076,JHU
total_protein,"LAB QUE PROTEIN, TOTAL",13,JHU
troponin_hs,TROPONIN T(HIGHLY SENSITIVE),218,JHU
troponin_hs,"TROPONIN, HS, RANDOM",1,JHU
troponin_i,TROPONIN I,201246,JHU
troponin_i,LAB CHEM TROPONIN I,58226,JHU
troponin_i,"TROPONIN I, EXTERNAL",35,JHU
wbc,WHITE BLOOD CELL COUNT,1602624,JHU
wbc,LAB HEM WHITE BLOOD CELL COUNT,984029,JHU
wbc,WBC,100320,JHU
wbc,"WHITE BLOOD CELL COUNT, EXTERNAL",19652,JHU
wbc,WHITE BLOOD CELL,3196,JHU
wbc,WHITE BLOOD CELLS,198,JHU
wbc,LAB HEM WHITE BLOOD CELL COUNT - DIFF,142,JHU
wbc,WHITE BLOOD COUNT,64,JHU
