position_category,position_name,n,site
not_prone,HOB less than 30 degrees;Lying down,169,JHU
not_prone,Supine;Semi fowlers;Pillow support;Lying right side,161,JHU
not_prone,Lying right side;Turns self,157,JHU
not_prone,Supine;Semi fowlers;Pillow support;Lying left side,150,JHU
not_prone,Turns self;Pillow support;Semi fowlers,148,JHU
not_prone,Semi-Fowlers,145,JHU
not_prone,Supine;Lying right side,144,JHU
not_prone,Supine;Other (Comment),143,JHU
not_prone,Semi fowlers;Turns self,136,JHU
not_prone,Supine;Reverse Trendelenburg,130,JHU
not_prone,Lying left side;Turns self,125,JHU
not_prone,Semi fowlers;Lying left side;Pillow support,119,JHU
not_prone,Lying left side;Reverse Trendelenburg,118,JHU
not_prone,Lying right side;Reverse Trendelenburg,118,JHU
not_prone,Lying left side;Supine,107,JHU
not_prone,Head right;Lying right side,106,JHU
not_prone,Head left;Lying left side,105,JHU
not_prone,Lying right side;Supine,104,JHU
not_prone,Head midline;Semi fowlers;Pillow support,103,JHU
not_prone,Semi fowlers;Lying right side;Pillow support,99,JHU
not_prone,Sitting;Pillow support,96,JHU
not_prone,Lying right side;Lying left side,87,JHU
not_prone,Lying right side;Pillow support;Reverse Trendelenburg,87,JHU
not_prone,Turns self;Sitting;Up in chair,86,JHU
not_prone,Lying right side;Supine;Semi fowlers,78,JHU
not_prone,Supine;Pillow support;Reverse Trendelenburg,78,JHU
not_prone,Supine;Semi fowlers;Lying right side,77,JHU
not_prone,Head midline;Lying right side;Semi fowlers;Pillow support,76,JHU
not_prone,Lying left side;Pillow support;Reverse Trendelenburg,74,JHU
not_prone,Lying down;HOB self-regulated,73,JHU
not_prone,Lying right side;Lying left side;Pillow support,73,JHU
not_prone,Pillow support;Supine;Semi fowlers,72,JHU
not_prone,Pillow support;Sitting,71,JHU
not_prone,Supine;Semi fowlers;Lying left side,71,JHU
not_prone,Lying left side;Other (Comment),70,JHU
not_prone,Lying right side;Supine;Pillow support,70,JHU
not_prone,Lying left side;Supine;Semi fowlers,69,JHU
not_prone,Semi fowlers;Pillow support;Other (Comment),69,JHU
not_prone,Head midline;Lying left side;Semi fowlers;Pillow support,67,JHU
not_prone,Sitting;Turns self,67,JHU
not_prone,Lying right side;Other (Comment),66,JHU
not_prone,Turns self;Supine;Pillow support,66,JHU
not_prone,Supine;Refused by patient,65,JHU
not_prone,Reverse Trendelenburg;Lying right side,63,JHU
not_prone,Turns self;Lying left side;Pillow support,62,JHU
not_prone,Left lateral;Lying down,60,JHU
not_prone,Turns self;Lying right side;Pillow support,59,JHU
not_prone,Lying left side;Supine;Pillow support,58,JHU
not_prone,Pillow support;Lying right side;Semi fowlers,58,JHU
not_prone,Turns self;Supine;Semi fowlers;Pillow support,56,JHU
not_prone,Lying right side;Head right,55,JHU
not_prone,Lying down;Left lateral;HOB equal/greater than 30 degrees,53,JHU
not_prone,Head right;Lying left side,52,JHU
not_prone,Pillow support;Semi fowlers;Turns self,52,JHU
not_prone,Head left;Lying right side,51,JHU
not_prone,HOB flat;Lying down,49,JHU
not_prone,Sitting;Other (Comment),49,JHU
not_prone,Lying left side;Head left,46,JHU
not_prone,Pillow support;Lying left side;Semi fowlers,46,JHU
not_prone,Unable to reposition;Semi fowlers;Pillow support,46,JHU
not_prone,Reverse Trendelenburg;Lying left side,42,JHU
not_prone,Semi fowlers;Other (Comment),42,JHU
not_prone,Lying down;Sitting,41,JHU
not_prone,Supine;Pillow support;Turns self,41,JHU
not_prone,Supine;Lying left side;Pillow support,40,JHU
not_prone,Supine;Unable to reposition,39,JHU
not_prone,Lying right side;Lying left side;Supine;Semi fowlers;Pillow support,38,JHU
not_prone,Supine;Pillow support;Lying left side,38,JHU
not_prone,Turns self;Supine;Semi fowlers,38,JHU
not_prone,Lying down;Right lateral;HOB equal/greater than 30 degrees,37,JHU
not_prone,Lying down;Reverse Trendelenburg,36,JHU
not_prone,Right lateral;Lying down,36,JHU
not_prone,Head right;Lying right side;Semi fowlers;Pillow support,34,JHU
not_prone,Head left;Lying left side;Semi fowlers;Pillow support,33,JHU
not_prone,Head midline;Semi fowlers,33,JHU
not_prone,Lying down;HOB equal/greater than 30 degrees;Left lateral,33,JHU
not_prone,Lying left side;Head left;Semi fowlers;Pillow support,33,JHU
not_prone,Lying right side;Head right;Semi fowlers;Pillow support,33,JHU
not_prone,Supine;Pillow support;Lying right side,32,JHU
not_prone,Supine;Sitting,32,JHU
not_prone,Head midline;Lying left side;Pillow support,31,JHU
not_prone,Lying right side;Lying left side;Semi fowlers;Pillow support,31,JHU
not_prone,Unable to reposition;Supine,31,JHU
not_prone,Supine;Lying right side;Pillow support,30,JHU
not_prone,Head midline;Pillow support;Semi fowlers,29,JHU
not_prone,Head midline;Supine;Semi fowlers;Pillow support,29,JHU
not_prone,Sitting;Up in chair;Pillow support,29,JHU
not_prone,Sitting;Up in chair;Turns self,29,JHU
not_prone,Supine;Pillow support;Other (Comment),29,JHU
not_prone,Turns self;Pillow support;Lying right side,29,JHU
not_prone,Head midline;Supine,28,JHU
not_prone,Semi fowlers;Pillow support;Refused by patient,28,JHU
not_prone,Head left;Semi fowlers;Pillow support,27,JHU
not_prone,Head right;Lying right side;Pillow support,27,JHU
not_prone,Lying left side;Head midline;Pillow support,27,JHU
not_prone,Sitting;Standing,27,JHU
not_prone,Supine;Head midline,27,JHU
not_prone,Head midline;Lying right side;Pillow support,26,JHU
not_prone,Lying left side;Lying right side,26,JHU
not_prone,Lying left side;Pillow support;Head midline,26,JHU
not_prone,Semi fowlers;Sitting,26,JHU
not_prone,Head left;Lying left side;Pillow support,25,JHU
not_prone,Lying down;HOB equal/greater than 30 degrees;Right lateral,25,JHU
not_prone,Refused by patient;Supine,25,JHU
not_prone,Semi fowlers;Reverse Trendelenburg,25,JHU
not_prone,Sitting;Other (comment),25,JHU
not_prone,Lying right side;Head midline;Pillow support,24,JHU
not_prone,Semi fowlers;Pillow support;Reverse Trendelenburg,24,JHU
not_prone,supine,24,JHU
not_prone,Head right;Semi fowlers;Pillow support,23,JHU
not_prone,Lying left side;Pillow support;Supine,23,JHU
not_prone,Lying left side;Semi fowlers;Pillow support;Head left,23,JHU
not_prone,Semi fowlers;Pillow support;Sitting,23,JHU
not_prone,Turns self;Lying right side;Semi fowlers;Pillow support,23,JHU
not_prone,Lying left side;Refused by patient,22,JHU
not_prone,Lying left side;Reverse Trendelenburg;Pillow support,22,JHU
not_prone,Lying left side;Semi fowlers;Pillow support;Supine,22,JHU
not_prone,Reverse Trendelenburg;Supine,22,JHU
not_prone,Sitting;HOB less than 30 degrees,22,JHU
not_prone,Lying down;HOB equal/greater than 30 degrees;HOB self-regulated,21,JHU
not_prone,Lying down;Left lateral;HOB less than 30 degrees,21,JHU
not_prone,Lying down;Other (comment),21,JHU
not_prone,Lying right side;Head left,21,JHU
not_prone,Other (Comment);Supine,21,JHU
not_prone,Standing;Sitting,21,JHU
not_prone,Head midline;Supine;Pillow support,20,JHU
not_prone,Lying right side;Semi fowlers;Pillow support;Supine,20,JHU
not_prone,Other (Comment);Lying left side,20,JHU
not_prone,Semi fowlers;Head midline,20,JHU
not_prone,Semi fowlers;Supine;Pillow support;Lying right side,20,JHU
not_prone,Sitting;Lying down,20,JHU
not_prone,Lying left side;Head right,19,JHU
not_prone,Lying left side;Sitting,19,JHU
not_prone,Pillow support;Sitting;Up in chair,19,JHU
not_prone,Reverse Trendelenburg;Pillow support;Lying left side,19,JHU
not_prone,SUPINE,19,JHU
not_prone,Semi fowlers;Pillow support;Unable to reposition,19,JHU
not_prone,Lying left side;Pillow support;Other (Comment),18,JHU
not_prone,Lying left side;Semi fowlers;Supine;Pillow support,18,JHU
not_prone,Lying right side;Sitting,18,JHU
not_prone,Refused by patient;Semi fowlers,18,JHU
not_prone,Sitting;Semi fowlers,18,JHU
not_prone,Unable to reposition;Lying left side,18,JHU
not_prone,Pillow support;Semi fowlers;Head midline,17,JHU
not_prone,Turns self;Pillow support;Supine,17,JHU
not_prone,Unable to reposition;Supine;Pillow support,17,JHU
not_prone,Lying down;HOB less than 30 degrees;Reverse Trendelenburg,16,JHU
not_prone,Lying left side;Head left;Pillow support,16,JHU
not_prone,Lying left side;Pillow support;Turns self,16,JHU
not_prone,Lying left side;Supine;Pillow support;Semi fowlers,16,JHU
not_prone,Lying right side;Pillow support;Head midline,16,JHU
not_prone,Lying right side;Pillow support;Supine,16,JHU
not_prone,Lying right side;Pillow support;Turns self,16,JHU
not_prone,Semi fowlers;Pillow support;Supine;Lying left side,16,JHU
not_prone,Supine;Semi fowlers;Pillow support;Head midline,16,JHU
not_prone,Supine;Semi fowlers;Pillow support;Turns self,16,JHU
not_prone,Lying right side;Pillow support;Other (Comment),15,JHU
not_prone,Lying right side;Refused by patient,15,JHU
not_prone,Other (Comment);Lying right side,15,JHU
not_prone,Reverse Trendelenburg;Pillow support;Lying right side,15,JHU
not_prone,Semi fowlers;Unable to reposition,15,JHU
not_prone,Supine;Pillow support;Head midline,15,JHU
not_prone,Lying down;Right lateral;HOB less than 30 degrees,14,JHU
not_prone,Lying right side;Head midline,14,JHU
not_prone,Lying right side;Reverse Trendelenburg;Pillow support,14,JHU
not_prone,Lying right side;Semi fowlers;Pillow support;Head right,14,JHU
not_prone,Lying right side;Semi fowlers;Supine;Pillow support,14,JHU
not_prone,Refused by patient;Lying left side,14,JHU
not_prone,Semi fowlers;Pillow support;Supine;Lying right side,14,JHU
not_prone,Semi fowlers;Supine;Pillow support;Lying left side,14,JHU
not_prone,Up in chair;Lying left side,14,JHU
not_prone,supined,14,JHU
not_prone,Lying right side;Supine;Pillow support;Semi fowlers,13,JHU
not_prone,Refused by patient;Lying right side,13,JHU
not_prone,Supine;Head left,13,JHU
not_prone,Supine;Up in chair,13,JHU
not_prone,Turns self;Lying left side;Semi fowlers;Pillow support,13,JHU
not_prone,Turns self;Pillow support;Lying left side,13,JHU
not_prone,Turns self;Sitting;Standing,13,JHU
not_prone,Lying left side;Lying right side;Pillow support,12,JHU
not_prone,Pillow support;Supine;Lying left side,12,JHU
not_prone,Reverse Trendelenburg;Lying left side;Pillow support,12,JHU
not_prone,Sitting;Lying left side,12,JHU
not_prone,Unable to reposition;Lying right side,12,JHU
not_prone,Head left;Lying left side;Reverse Trendelenburg,11,JHU
not_prone,Head midline;Lying left side,11,JHU
not_prone,Lying left side;Semi fowlers;Supine,11,JHU
not_prone,Other (Comment);Semi fowlers;Pillow support,11,JHU
not_prone,Pillow support;Semi fowlers;Supine;Lying right side,11,JHU
not_prone,Pillow support;Supine;Turns self,11,JHU
not_prone,Refused by patient;Supine;Semi fowlers,11,JHU
not_prone,Reverse Trendelenburg;Supine;Pillow support,11,JHU
not_prone,Supine;Head midline;Pillow support,11,JHU
not_prone,Supine;Pillow support;Unable to reposition,11,JHU
not_prone,Turns self;Pillow support;Sitting,11,JHU
not_prone,Turns self;Semi fowlers;Pillow support;Supine,11,JHU
not_prone,Unable to reposition;Supine;Semi fowlers;Pillow support,11,JHU
not_prone,Head right;Lying left side;Reverse Trendelenburg,10,JHU
not_prone,Lying left side;Turns self;Pillow support,10,JHU
not_prone,Lying right side;Semi fowlers;Pillow support;Other (Comment),10,JHU
not_prone,Lying right side;Turns self;Pillow support,10,JHU
not_prone,Pillow support;Semi fowlers;Other (Comment),10,JHU
not_prone,Pillow support;Semi fowlers;Supine;Lying left side,10,JHU
not_prone,Semi fowlers;Pillow support;Head left,10,JHU
not_prone,Sitting;Lying right side,10,JHU
not_prone,HOB self-regulated;Lying down,9,JHU
not_prone,Head midline;Lying right side,9,JHU
not_prone,Left lateral;HOB equal/greater than 30 degrees;Lying down,9,JHU
not_prone,Lying down;Trendelenburg,9,JHU
not_prone,Lying left side;Semi fowlers;Pillow support;Other (Comment),9,JHU
not_prone,Lying right side;Supine;Reverse Trendelenburg,9,JHU
not_prone,Lying right side;Up in chair,9,JHU
not_prone,Pillow support;Lying right side;Lying left side,9,JHU
not_prone,Semi fowlers;Pillow support;Head right,9,JHU
not_prone,Semi fowlers;Pillow support;Lying right side;Head right,9,JHU
not_prone,Semi fowlers;Pillow support;Lying right side;Lying left side,9,JHU
not_prone,Semi fowlers;Supine;Lying left side,9,JHU
not_prone,Supine;Lying left side;Semi fowlers;Pillow support,9,JHU
not_prone,Supine;Semi fowlers;Pillow support;Lying left side;Lying right side,9,JHU
not_prone,Turns self;Lying right side;Pillow support;Semi fowlers,9,JHU
not_prone,Turns self;Semi fowlers;Pillow support;Lying right side,9,JHU
not_prone,Turns self;Up in chair;Sitting,9,JHU
not_prone,Unable to reposition;Supine;Semi fowlers,9,JHU
not_prone,Up in chair;Sitting;Turns self,9,JHU
not_prone,Lying right side;Head right;Pillow support,8,JHU
not_prone,Lying right side;Semi fowlers;Head midline,8,JHU
not_prone,Lying right side;Semi fowlers;Supine,8,JHU
not_prone,Other (Comment);Semi fowlers,8,JHU
not_prone,Refused by patient;Lying left side;Pillow support,8,JHU
not_prone,Reverse Trendelenburg;Semi fowlers;Pillow support,8,JHU
not_prone,Right lateral;HOB equal/greater than 30 degrees;Lying down,8,JHU
not_prone,Semi fowlers;Refused by patient,8,JHU
not_prone,Semi fowlers;Turns self;Pillow support,8,JHU
not_prone,Supine;Semi fowlers;Turns self,8,JHU
not_prone,Supined,8,JHU
not_prone,Turns self;Lying right side;Semi fowlers,8,JHU
not_prone,Turns self;Pillow support;Semi fowlers;Supine,8,JHU
not_prone,Up in chair;Sitting;Pillow support,8,JHU
not_prone,Head left;Lying right side;Reverse Trendelenburg,7,JHU
not_prone,Head left;Pillow support;Semi fowlers,7,JHU
not_prone,Head midline;Lying right side;Semi fowlers,7,JHU
not_prone,Head midline;Supine;Semi fowlers,7,JHU
not_prone,Head right;Pillow support;Semi fowlers,7,JHU
not_prone,Lying down;HOB equal/greater than 30 degrees;Reverse Trendelenburg,7,JHU
not_prone,Lying down;Right lateral;HOB flat,7,JHU
not_prone,Lying left side;Supine;Reverse Trendelenburg,7,JHU
not_prone,Lying left side;Up in chair,7,JHU
not_prone,Lying right side;Pillow support;Sitting,7,JHU
not_prone,Lying right side;Unable to reposition,7,JHU
not_prone,Refused by patient;Lying right side;Pillow support,7,JHU
not_prone,Reverse Trendelenburg;Semi fowlers,7,JHU
not_prone,Semi fowlers;Pillow support;Lying left side;Head left,7,JHU
not_prone,Semi fowlers;Supine;Lying right side,7,JHU
not_prone,Sitting;Standing;Up in chair,7,JHU
not_prone,Supine;Lying right side;Semi fowlers,7,JHU
not_prone,Supine;Pillow support;Semi fowlers;Lying right side,7,JHU
not_prone,Supine;Reverse Trendelenburg;Pillow support,7,JHU
not_prone,Supine;Semi fowlers;Other (Comment),7,JHU
not_prone,Turns self;Lying left side;Semi fowlers,7,JHU
not_prone,Turns self;Semi fowlers;Lying right side,7,JHU
not_prone,Unable to reposition;Semi fowlers,7,JHU
not_prone,HOB equal/greater than 30 degrees;Lying down;Right lateral,6,JHU
not_prone,Head midline;Lying left side;Semi fowlers,6,JHU
not_prone,Head midline;Semi fowlers;Pillow support;Lying right side,6,JHU
not_prone,Head right;Lying right side;Semi fowlers,6,JHU
not_prone,Lying down;HOB less than 30 degrees;HOB self-regulated,6,JHU
not_prone,Lying left side;Head midline,6,JHU
not_prone,Lying left side;Head right;Reverse Trendelenburg,6,JHU
not_prone,Lying left side;Pillow support;Supine;Semi fowlers,6,JHU
not_prone,Lying right side;Lying left side;Semi fowlers,6,JHU
not_prone,Lying right side;Pillow support;Semi fowlers;Supine,6,JHU
not_prone,Other (Comment);Sitting,6,JHU
not_prone,Pillow support;Head right;Lying right side,6,JHU
not_prone,Pillow support;Lying right side;Supine,6,JHU
not_prone,Pillow support;Reverse Trendelenburg;Lying right side,6,JHU
not_prone,Pillow support;Semi fowlers;Head left,6,JHU
not_prone,Pillow support;Semi fowlers;Sitting,6,JHU
not_prone,Pillow support;Semi fowlers;Supine;Turns self,6,JHU
not_prone,Pillow support;Supine;Other (Comment),6,JHU
not_prone,Refused by patient;Semi fowlers;Pillow support,6,JHU
not_prone,Reverse Trendelenburg;Lying down,6,JHU
not_prone,Reverse Trendelenburg;Pillow support;Supine,6,JHU
not_prone,Right lateral;Lying down;HOB equal/greater than 30 degrees,6,JHU
not_prone,Semi fowlers;Head left,6,JHU
not_prone,Semi fowlers;Pillow support;Up in chair,6,JHU
not_prone,Sitting;Semi fowlers;Pillow support,6,JHU
not_prone,Supine;Semi fowlers;Pillow support;Lying right side;Lying left side,6,JHU
not_prone,Supine;Semi fowlers;Pillow support;Reverse Trendelenburg,6,JHU
not_prone,Supine;Semi fowlers;Pillow support;Unable to reposition,6,JHU
not_prone,Turns self;Lying left side;Pillow support;Semi fowlers,6,JHU
not_prone,Turns self;Pillow support;Sitting;Up in chair,6,JHU
not_prone,Turns self;Pillow support;Supine;Semi fowlers,6,JHU
not_prone,Turns self;Semi fowlers;Supine,6,JHU
not_prone,Up in chair;Semi fowlers,6,JHU
not_prone,HOB equal/greater than 30 degrees;Left lateral;Lying down,5,JHU
not_prone,HOB less than 30 degrees;Left lateral;Lying down,5,JHU
not_prone,HOB less than 30 degrees;Sitting,5,JHU
not_prone,Head left;Lying left side;Semi fowlers,5,JHU
not_prone,Head midline;Semi fowlers;Pillow support;Lying left side,5,JHU
not_prone,Head right;Lying left side;Semi fowlers;Pillow support,5,JHU
not_prone,Head right;Lying right side;Pillow support;Semi fowlers,5,JHU
not_prone,Head right;Lying right side;Reverse Trendelenburg,5,JHU
not_prone,Head right;Semi fowlers,5,JHU
not_prone,Infant nested;Semi fowlers;Pillow support,5,JHU
not_prone,Lying down;HOB flat;HOB less than 30 degrees,5,JHU
not_prone,Lying down;Left lateral;HOB flat,5,JHU
not_prone,Lying left side;Head left;Pillow support;Semi fowlers,5,JHU
not_prone,Lying left side;Lying right side;Semi fowlers,5,JHU
not_prone,Lying left side;Pillow support;Head left,5,JHU
not_prone,Lying left side;Pillow support;Sitting,5,JHU
not_prone,Lying left side;Unable to reposition,5,JHU
not_prone,Lying right side;Lying left side;Supine,5,JHU
not_prone,Lying right side;Semi fowlers;Pillow support;Turns self,5,JHU
not_prone,Other (Comment);Supine;Pillow support,5,JHU
not_prone,Pillow support;Head midline;Supine,5,JHU
not_prone,Pillow support;Lying left side;Lying right side,5,JHU
not_prone,Pillow support;Lying right side;Turns self,5,JHU
not_prone,Pillow support;Turns self;Semi fowlers,5,JHU
not_prone,Refused by patient;Pillow support;Supine,5,JHU
not_prone,Semi fowlers;Head right,5,JHU
not_prone,Semi fowlers;Lying right side;Head right;Pillow support,5,JHU
not_prone,Semi fowlers;Lying right side;Lying left side,5,JHU
not_prone,Semi fowlers;Up in chair,5,JHU
not_prone,Supine;Lying right side;Semi fowlers;Pillow support,5,JHU
not_prone,Supine;Semi fowlers;Pillow support;Other (Comment),5,JHU
not_prone,Supine;Semi fowlers;Pillow support;Refused by patient,5,JHU
not_prone,Turns self;Head midline;Semi fowlers;Pillow support,5,JHU
not_prone,Turns self;Supine;Sitting,5,JHU
not_prone,Fowlers,4,JHU
not_prone,HOB equal/greater than 30 degrees;HOB self-regulated;Lying down,4,JHU
not_prone,Head left;Semi fowlers,4,JHU
not_prone,Head midline;Lying right side;Lying left side,4,JHU
not_prone,Head midline;Pillow support;Lying right side,4,JHU
not_prone,Head midline;Semi fowlers;Pillow support;Supine,4,JHU
not_prone,Head right;Lying left side;Pillow support;Reverse Trendelenburg,4,JHU
not_prone,High fowlers,4,JHU
not_prone,Left lateral;Lying down;HOB equal/greater than 30 degrees,4,JHU
not_prone,Lying down;HOB flat;Left lateral,4,JHU
not_prone,Lying down;HOB flat;Reverse Trendelenburg,4,JHU
not_prone,Lying down;HOB less than 30 degrees;Right lateral,4,JHU
not_prone,Lying left side;Semi fowlers;Pillow support;Turns self,4,JHU
not_prone,Lying right side;Head left;Reverse Trendelenburg,4,JHU
not_prone,Lying right side;Head right;Pillow support;Semi fowlers,4,JHU
not_prone,Lying right side;Lying left side;Supine;Pillow support,4,JHU
not_prone,Lying right side;Pillow support;Head right,4,JHU
not_prone,Lying right side;Semi fowlers;Pillow support;Unable to reposition,4,JHU
not_prone,Other (comment);Sitting,4,JHU
not_prone,Pillow support;Head midline;Lying left side,4,JHU
not_prone,Pillow support;Head midline;Semi fowlers,4,JHU
not_prone,Pillow support;Lying left side;Reverse Trendelenburg,4,JHU
not_prone,Pillow support;Lying left side;Supine,4,JHU
not_prone,Pillow support;Lying right side;Head midline,4,JHU
not_prone,Pillow support;Lying right side;Lying left side;Semi fowlers,4,JHU
not_prone,Pillow support;Semi fowlers;Head right,4,JHU
not_prone,Pillow support;Semi fowlers;Reverse Trendelenburg,4,JHU
not_prone,Pillow support;Supine;Lying right side,4,JHU
not_prone,Pillow support;Up in chair;Sitting,4,JHU
not_prone,Reverse Trendelenburg;Head left;Lying right side,4,JHU
not_prone,Reverse Trendelenburg;Lying right side;Pillow support,4,JHU
not_prone,Semi fowlers;Pillow support;Lying left side;Supine,4,JHU
not_prone,Semi fowlers;Pillow support;Lying left side;Turns self,4,JHU
not_prone,Semi fowlers;Pillow support;Turns self;Lying left side,4,JHU
not_prone,Semi fowlers;Supine;Head midline,4,JHU
not_prone,Semi fowlers;Supine;Other (Comment),4,JHU
not_prone,Sitting;Pillow support;Other (Comment),4,JHU
not_prone,Sitting;Supine,4,JHU
not_prone,Supine;Lying left side;Lying right side;Semi fowlers;Pillow support,4,JHU
not_prone,Supine;Lying left side;Semi fowlers,4,JHU
not_prone,Supine;Other (Comment);Pillow support,4,JHU
not_prone,Supine;Pillow support;Refused by patient,4,JHU
not_prone,Supine;Reverse Trendelenburg;Unable to reposition,4,JHU
not_prone,Supine;Semi fowlers;Lying left side;Pillow support,4,JHU
not_prone,Supine;Semi fowlers;Reverse Trendelenburg,4,JHU
not_prone,Turns self;Semi fowlers;Lying left side,4,JHU
not_prone,Turns self;Semi fowlers;Pillow support;Lying left side,4,JHU
not_prone,Turns self;Sitting;Pillow support,4,JHU
not_prone,Unable to reposition;Lying left side;Pillow support,4,JHU
not_prone,Up in chair;Lying right side,4,JHU
not_prone,Up in chair;Semi fowlers;Pillow support,4,JHU
not_prone,"pt sitting in bed, watching TV on tv and Ipad",4,JHU
not_prone,HOB equal/greater than 30 degrees;Lying down;HOB self-regulated,3,JHU
not_prone,HOB less than 30 degrees;Lying down;Left lateral,3,JHU
not_prone,HOB less than 30 degrees;Lying down;Right lateral,3,JHU
not_prone,HOB less than 30 degrees;Right lateral;Lying down,3,JHU
not_prone,Head left;Lying left side;Pillow support;Semi fowlers,3,JHU
not_prone,Head left;Lying right side;Pillow support;Reverse Trendelenburg,3,JHU
not_prone,Head left;Reverse Trendelenburg;Lying right side;Pillow support,3,JHU
not_prone,Head left;Semi fowlers;Pillow support;Lying left side,3,JHU
not_prone,Head midline;Pillow support;Lying left side,3,JHU
not_prone,Head midline;Pillow support;Supine,3,JHU
not_prone,Infant nested;Pillow support;Semi fowlers,3,JHU
not_prone,Left lateral;HOB less than 30 degrees;Lying down,3,JHU
not_prone,Lying down;HOB equal/greater than 30 degrees;Other (comment),3,JHU
not_prone,Lying down;HOB flat;HOB equal/greater than 30 degrees,3,JHU
not_prone,Lying down;Reverse Trendelenburg;HOB equal/greater than 30 degrees,3,JHU
not_prone,Lying down;Sitting;HOB equal/greater than 30 degrees,3,JHU
not_prone,Lying left side;Head left;Semi fowlers;Pillow support;Supine,3,JHU
not_prone,Lying left side;Pillow support;Reverse Trendelenburg;Head left,3,JHU
not_prone,Lying left side;Pillow support;Semi fowlers;Head midline,3,JHU
not_prone,Lying left side;Pillow support;Semi fowlers;Supine,3,JHU
not_prone,Lying left side;Pillow support;Unable to reposition,3,JHU
not_prone,Lying left side;Semi fowlers;Head midline,3,JHU
not_prone,Lying left side;Semi fowlers;Turns self,3,JHU
not_prone,Lying right side;Head midline;Semi fowlers;Pillow support,3,JHU
not_prone,Lying right side;Pillow support;Lying left side,3,JHU
not_prone,Other (Comment);Lying right side;Pillow support,3,JHU
not_prone,PT SUPINE,3,JHU
not_prone,Pillow support;Head left;Lying left side,3,JHU
not_prone,Pillow support;Head left;Lying right side,3,JHU
not_prone,Pillow support;Lying left side;Supine;Semi fowlers,3,JHU
not_prone,Pillow support;Other (Comment);Lying left side,3,JHU
not_prone,Pillow support;Semi fowlers;Lying left side;Head left,3,JHU
not_prone,Pillow support;Semi fowlers;Lying left side;Lying right side,3,JHU
not_prone,Pillow support;Semi fowlers;Lying right side;Supine,3,JHU
not_prone,Pillow support;Semi fowlers;Refused by patient,3,JHU
not_prone,Pillow support;Supine;Head midline,3,JHU
not_prone,Pillow support;Supine;Refused by patient,3,JHU
not_prone,Pillow support;Supine;Reverse Trendelenburg,3,JHU
not_prone,Pillow support;Turns self;Supine,3,JHU
not_prone,Pt supine,3,JHU
not_prone,Refused by patient;Supine;Semi fowlers;Pillow support,3,JHU
