device_category,device_name,n,site
Face Mask,Aerosol Mask;Warmed;Humidified,1,ucmc
Face Mask,Face Mask;Aerosol Mask;Humidified,1,ucmc
Face Mask,Face Mask;Blow-By,1,ucmc
Face Mask,Face Mask;Humidified;Warmed,1,ucmc
Face Mask,Face Mask;NRB Mask,1,ucmc
Face Mask,Face Mask;OxyMask,1,ucmc
Face Mask,Face Tent;Aerosol Mask;Humidified,1,ucmc
Face Mask,Face Tent;NRB Mask,1,ucmc
Face Mask,Humidified;Room Air;OxyMask,1,ucmc
Face Mask,NRB Mask;Aerosol Mask,1,ucmc
Face Mask,Room Air;Face Mask;Venturi Mask,1,ucmc
Face Mask,Vent ;Venturi Mask;Warmed,1,ucmc
Face Mask,Vent;Venturi Mask;Warmed,1,ucmc
Face Mask,Vent;Warmed;Venturi Mask,1,ucmc
Face Mask,Venturi Mask;NRB Mask,1,ucmc
Face Mask,Venturi Mask;OxyTrach,1,ucmc
Face Mask,Venturi Mask;Vent;Humidified,1,ucmc
High Flow NC,High Flow NC,84537,ucmc
High Flow NC,High Flow NC;Humidified;Warmed,7007,ucmc
High Flow NC,High Flow NC;Humidified,2746,ucmc
High Flow NC,High Flow NC;Warmed;Humidified,1637,ucmc
High Flow NC,High Flow NC;Warmed,1373,ucmc
High Flow NC,Warmed;Humidified;High Flow NC,770,ucmc
High Flow NC,Humidified;High Flow NC,757,ucmc
High Flow NC,Humidified;Warmed;High Flow NC,564,ucmc
High Flow NC,High Flow NC;NRB Mask,475,ucmc
High Flow NC,Warmed;High Flow NC;Humidified,403,ucmc
High Flow NC,Humidified;High Flow NC;Warmed,386,ucmc
High Flow NC,Warmed;High Flow NC,267,ucmc
High Flow NC,Nasal Cannula;High Flow NC,254,ucmc
High Flow NC,NRB Mask;High Flow NC,134,ucmc
High Flow NC,High Flow NC;Humidified;Warmed;NRB Mask,128,ucmc
High Flow NC,High Flow NC;Nasal Cannula,91,ucmc
High Flow NC,NRB Mask;High Flow NC;Humidified;Warmed,72,ucmc
High Flow NC,High Flow NC;Humidified;NRB Mask,39,ucmc
High Flow NC,High Flow NC;Warmed;Humidified;NRB Mask,36,ucmc
High Flow NC,High Flow NC;Trach Collar,32,ucmc
High Flow NC,Trach Collar;High Flow NC,30,ucmc
High Flow NC,NRB Mask;High Flow NC;Humidified,27,ucmc
High Flow NC,High Flow NC;NRB Mask;Humidified;Warmed,24,ucmc
High Flow NC,Nasal Cannula;High Flow NC;Humidified,21,ucmc
High Flow NC,High Flow NC;NRB Mask;Humidified,16,ucmc
High Flow NC,High Flow NC;Warmed;NRB Mask,16,ucmc
High Flow NC,Nasal Cannula;Humidified;High Flow NC,16,ucmc
High Flow NC,NRB Mask;Humidified;Warmed;High Flow NC,11,ucmc
High Flow NC,RAM Cannula;High Flow NC,11,ucmc
High Flow NC,Trach Collar;High Flow NC;Humidified;Warmed,10,ucmc
High Flow NC,Humidified;High Flow NC;NRB Mask,9,ucmc
High Flow NC,NRB Mask;High Flow NC;Warmed,9,ucmc
High Flow NC,NRB Mask;High Flow NC;Warmed;Humidified,9,ucmc
High Flow NC,Trach Collar;High Flow NC;Humidified,9,ucmc
High Flow NC,Warmed;High Flow NC;Humidified;NRB Mask,9,ucmc
High Flow NC,High Flow NC;Nasal Cannula;Humidified,8,ucmc
High Flow NC,Humidified;Warmed;High Flow NC;NRB Mask,8,ucmc
High Flow NC,Room Air;Face Mask;High Flow NC,8,ucmc
High Flow NC,Room Air;High Flow NC,8,ucmc
High Flow NC,Warmed;Humidified;High Flow NC;NRB Mask,8,ucmc
High Flow NC,High Flow NC;Humidified;NRB Mask;Warmed,7,ucmc
High Flow NC,High Flow NC;Humidified;Trach Collar,7,ucmc
High Flow NC,High Flow NC;NRB Mask;Warmed;Humidified,7,ucmc
High Flow NC,High Flow NC;Trach Collar;Humidified,7,ucmc
High Flow NC,Humidified;High Flow NC;Trach Collar,7,ucmc
High Flow NC,Aerosol Mask;High Flow NC,6,ucmc
High Flow NC,High Flow NC;Humidified;Warmed;Aerosol Mask,6,ucmc
High Flow NC,High Flow NC;Trach Collar;Humidified;Warmed,6,ucmc
High Flow NC,High Flow NC;Aerosol Mask,5,ucmc
High Flow NC,High Flow NC;Humidified;Venturi Mask,5,ucmc
High Flow NC,High Flow NC;NRB Mask;Warmed,5,ucmc
High Flow NC,High Flow NC;RAM Cannula,5,ucmc
High Flow NC,High Flow NC;Trach Collar;Warmed,5,ucmc
High Flow NC,Humidified;High Flow NC;Nasal Cannula,5,ucmc
High Flow NC,Room Air;High Flow NC;Face Mask,5,ucmc
High Flow NC,High Flow NC;Face Tent,4,ucmc
High Flow NC,High Flow NC;Humidified;Warmed;Trach Collar,4,ucmc
High Flow NC,High Flow NC;O2 Hood,4,ucmc
High Flow NC,High Flow NC;Warmed;Trach Collar,4,ucmc
High Flow NC,Humidified;High Flow NC;Warmed;NRB Mask,4,ucmc
High Flow NC,Room Air;Face Mask;High Flow NC;Nasal Cannula,4,ucmc
High Flow NC,Warmed;Humidified;High Flow NC;Trach Collar,4,ucmc
High Flow NC,Face Tent;High Flow NC,3,ucmc
High Flow NC,High Flow NC;Humidified;Nasal Cannula,3,ucmc
High Flow NC,High Flow NC;Humidified;Trach Collar;Warmed,3,ucmc
High Flow NC,High Flow NC;Room Air,3,ucmc
High Flow NC,Humidified;Nasal Cannula;High Flow NC,3,ucmc
High Flow NC,Humidified;Trach Collar;High Flow NC,3,ucmc
High Flow NC,NRB Mask;Humidified;High Flow NC,3,ucmc
High Flow NC,Nasal Cannula;NRB Mask;High Flow NC,3,ucmc
High Flow NC,O2 Hood;High Flow NC,3,ucmc
High Flow NC,Trach Collar;High Flow NC;Warmed,3,ucmc
High Flow NC,Trach Collar;High Flow NC;Warmed;Humidified,3,ucmc
High Flow NC,Warmed;High Flow NC;Trach Collar,3,ucmc
High Flow NC,Aerosol Mask;High Flow NC;Humidified;Warmed,2,ucmc
High Flow NC,Face Mask;High Flow NC,2,ucmc
High Flow NC,Face Mask;Humidified;Warmed;High Flow NC,2,ucmc
High Flow NC,High Flow NC;Humidified;Aerosol Mask,2,ucmc
High Flow NC,High Flow NC;Humidified;RAM Cannula,2,ucmc
High Flow NC,High Flow NC;Venturi Mask,2,ucmc
High Flow NC,High Flow NC;Warmed;Humidified;Trach Collar,2,ucmc
High Flow NC,Humidified;High Flow NC;NRB Mask;Warmed,2,ucmc
High Flow NC,Humidified;Warmed;NRB Mask;High Flow NC,2,ucmc
High Flow NC,Trach Collar;Aerosol Mask;High Flow NC;Humidified;Warmed,2,ucmc
High Flow NC,Trach Collar;Humidified;High Flow NC,2,ucmc
High Flow NC,Trach Collar;Humidified;Warmed;High Flow NC,2,ucmc
High Flow NC,Warmed;High Flow NC;NRB Mask,2,ucmc
High Flow NC,Warmed;Humidified;High Flow NC;Face Mask,2,ucmc
High Flow NC,Aerosol Mask;Face Tent;High Flow NC,1,ucmc
High Flow NC,Face Mask;High Flow NC;Humidified,1,ucmc
High Flow NC,High Flow NC;Aerosol Mask;Humidified;Warmed,1,ucmc
High Flow NC,High Flow NC;Blow-By,1,ucmc
High Flow NC,High Flow NC;Blow-By;Warmed;Humidified;Aerosol Mask,1,ucmc
High Flow NC,High Flow NC;Face Mask,1,ucmc
High Flow NC,High Flow NC;Face Tent;Blow-By,1,ucmc
High Flow NC,High Flow NC;Face Tent;Humidified,1,ucmc
High Flow NC,High Flow NC;Humidified;Face Tent,1,ucmc
High Flow NC,High Flow NC;Humidified;Venturi Mask;Warmed,1,ucmc
High Flow NC,High Flow NC;Humidified;Warmed;Face Mask,1,ucmc
High Flow NC,High Flow NC;Humidified;Warmed;Room Air,1,ucmc
High Flow NC,High Flow NC;NRB Mask;Room Air,1,ucmc
High Flow NC,High Flow NC;Nasal Cannula;Warmed,1,ucmc
High Flow NC,High Flow NC;OxyTrach;Humidified,1,ucmc
High Flow NC,High Flow NC;Trach Collar;Warmed;Humidified,1,ucmc
High Flow NC,High Flow NC;Warmed;Humidified;Face Mask,1,ucmc
High Flow NC,High Flow NC;Warmed;Humidified;Venturi Mask,1,ucmc
High Flow NC,High Flow NC;Warmed;NRB Mask;Humidified,1,ucmc
High Flow NC,High Flow NC;Warmed;Trach Collar;Humidified,1,ucmc
High Flow NC,Humidified;Face Tent;High Flow NC,1,ucmc
High Flow NC,Humidified;High Flow NC;Trach Collar;Warmed,1,ucmc
High Flow NC,Humidified;High Flow NC;Venturi Mask,1,ucmc
High Flow NC,Humidified;Nasal Cannula;High Flow NC;Warmed,1,ucmc
High Flow NC,Humidified;Trach Collar;Warmed;High Flow NC,1,ucmc
High Flow NC,Humidified;Warmed;Face Mask;High Flow NC,1,ucmc
High Flow NC,Humidified;Warmed;High Flow NC;Venturi Mask,1,ucmc
High Flow NC,NRB Mask;Blow-By;High Flow NC,1,ucmc
High Flow NC,NRB Mask;Humidified;High Flow NC;Warmed,1,ucmc
High Flow NC,NRB Mask;Warmed;Humidified;High Flow NC,1,ucmc
High Flow NC,Nasal Cannula;Aerosol Mask;High Flow NC,1,ucmc
High Flow NC,Nasal Cannula;Aerosol Mask;Humidified;High Flow NC,1,ucmc
High Flow NC,Nasal Cannula;High Flow NC;Aerosol Mask,1,ucmc
High Flow NC,Nasal Cannula;High Flow NC;Humidified;Warmed,1,ucmc
High Flow NC,Nasal Cannula;High Flow NC;NRB Mask,1,ucmc
High Flow NC,Nasal Cannula;High Flow NC;Warmed;Humidified,1,ucmc
High Flow NC,Nasal Cannula;Humidified;High Flow NC;Warmed,1,ucmc
High Flow NC,RAM Cannula;Nasal Cannula;High Flow NC,1,ucmc
High Flow NC,Room Air;Face Mask;Nasal Cannula;High Flow NC,1,ucmc
High Flow NC,Room Air;High Flow NC;Humidified;Warmed,1,ucmc
High Flow NC,Room Air;Trach Collar;High Flow NC;Warmed;Humidified,1,ucmc
High Flow NC,Room Air;Warmed;High Flow NC;Trach Collar,1,ucmc
High Flow NC,Trach Collar;High Flow NC;Face Tent,1,ucmc
High Flow NC,Venturi Mask;High Flow NC,1,ucmc
High Flow NC,Warmed;Humidified;NRB Mask;High Flow NC,1,ucmc
High Flow NC,Warmed;NRB Mask;High Flow NC;Humidified,1,ucmc
High Flow NC,Warmed;O2 Hood;High Flow NC,1,ucmc
High Flow NC,Warmed;Trach Collar;High Flow NC,1,ucmc
NIPPV,Bipap,36454,ucmc
NIPPV,BIPAP,3904,ucmc
NIPPV,Nasal Cannula;Bipap,26,ucmc
NIPPV,Bipap;Humidified,25,ucmc
NIPPV,Room Air;Bipap,18,ucmc
NIPPV,Bipap;Humidified;Warmed,16,ucmc
NIPPV,Bipap;Warmed,15,ucmc
NIPPV,Bipap;CPAP,14,ucmc
NIPPV,Nasal Cannula;BIPAP,11,ucmc
NIPPV,Bipap;Nasal Cannula,10,ucmc
NIPPV,Room Air;BIPAP,9,ucmc
NIPPV,Bipap;Warmed;Humidified,8,ucmc
NIPPV,Bipap;O2 Hood,6,ucmc
NIPPV,Bipap;Room Air,5,ucmc
NIPPV,Blow-By;Bipap,5,ucmc
NIPPV,Face Mask;BIPAP,5,ucmc
NIPPV,NRB Mask;BIPAP,5,ucmc
NIPPV,Bipap;High Flow NC,4,ucmc
NIPPV,High Flow NC;Bipap,4,ucmc
NIPPV,Humidified;Bipap,4,ucmc
NIPPV,Aerosol Mask;BIPAP,3,ucmc
NIPPV,BIPAP;NRB Mask,3,ucmc
NIPPV,BIPAP;Room Air,3,ucmc
NIPPV,Bipap;Trach Collar,3,ucmc
NIPPV,Humidified;Warmed;Bipap,3,ucmc
NIPPV,RAM Cannula;Bipap,3,ucmc
NIPPV,Trach Collar;Bipap,3,ucmc
NIPPV,Bipap;Venturi Mask,2,ucmc
NIPPV,Warmed;Bipap,2,ucmc
NIPPV,Bipap;Aerosol Mask,1,ucmc
NIPPV,Bipap;Face Mask,1,ucmc
NIPPV,Bipap;High Flow NC;Humidified;Warmed,1,ucmc
NIPPV,Bipap;Nasal Cannula;Humidified,1,ucmc
NIPPV,Bipap;RAM Cannula,1,ucmc
NIPPV,Blow-By;BIPAP,1,ucmc
NIPPV,High Flow NC;Bipap;Warmed,1,ucmc
NIPPV,High Flow NC;Humidified;Bipap,1,ucmc
NIPPV,High Flow NC;Humidified;Warmed;Bipap,1,ucmc
NIPPV,NRB Mask;Nasal Cannula;BIPAP,1,ucmc
NIPPV,Nasal Cannula;BIPAP;NRB Mask,1,ucmc
NIPPV,Nasal Cannula;Bipap;Humidified,1,ucmc
NIPPV,O2 Hood;Bipap,1,ucmc
NIPPV,OxyTrach;Bipap,1,ucmc
NIPPV,Trach Collar;BIPAP,1,ucmc
NIPPV,Warmed;Humidified;Bipap,1,ucmc
Nasal Cannula,Nasal Cannula,280746,ucmc
Nasal Cannula,Nasal Cannula;Humidified,11937,ucmc
Nasal Cannula,RAM Cannula,2479,ucmc
Nasal Cannula,Humidified;Nasal Cannula,1485,ucmc
Nasal Cannula,Room Air;Nasal Cannula,461,ucmc
Nasal Cannula,Nasal Cannula;NRB Mask,272,ucmc
Nasal Cannula,Nasal Cannula;Room Air,116,ucmc
Nasal Cannula,NRB Mask;Nasal Cannula,91,ucmc
Nasal Cannula,Room Air;Face Mask;Nasal Cannula,75,ucmc
Nasal Cannula,Face Mask;Nasal Cannula,48,ucmc
Nasal Cannula,Nasal Cannula;Venturi Mask,38,ucmc
Nasal Cannula,Nasal Cannula;Aerosol Mask,33,ucmc
Nasal Cannula,Nasal Cannula;Face Mask,33,ucmc
Nasal Cannula,RAM Cannula;Humidified,26,ucmc
Nasal Cannula,Room Air;RAM Cannula,17,ucmc
Nasal Cannula,Nasal Cannula;Warmed,16,ucmc
Nasal Cannula,Nasal Cannula;Humidified;NRB Mask,14,ucmc
Nasal Cannula,Nasal Cannula;Humidified;Warmed,14,ucmc
Nasal Cannula,Face Tent;Nasal Cannula,10,ucmc
Nasal Cannula,RAM Cannula;Humidified;Warmed,9,ucmc
Nasal Cannula,Nasal Cannula;Trach Collar,8,ucmc
Nasal Cannula,Nasal Cannula;Humidified;Venturi Mask,7,ucmc
Nasal Cannula,Humidified;RAM Cannula,6,ucmc
Nasal Cannula,Nasal Cannula;O2 Hood,6,ucmc
Nasal Cannula,Room Air;Nasal Cannula;Face Mask,6,ucmc
Nasal Cannula,Aerosol Mask;Nasal Cannula,5,ucmc
Nasal Cannula,Nasal Cannula;Face Tent,5,ucmc
Nasal Cannula,Nasal Cannula;RAM Cannula,5,ucmc
Nasal Cannula,OxyTrach;Nasal Cannula,5,ucmc
Nasal Cannula,Trach Collar;Nasal Cannula,5,ucmc
Nasal Cannula,Warmed;Nasal Cannula,5,ucmc
Nasal Cannula,Nasal Cannula;NRB Mask;Humidified,4,ucmc
Nasal Cannula,Nasal Cannula;T-Piece,4,ucmc
Nasal Cannula,OxyMask;Nasal Cannula,4,ucmc
Nasal Cannula,RAM Cannula;NRB Mask,4,ucmc
Nasal Cannula,Humidified;Nasal Cannula;NRB Mask,3,ucmc
Nasal Cannula,Humidified;Warmed;Nasal Cannula,3,ucmc
Nasal Cannula,NRB Mask;Nasal Cannula;Humidified,3,ucmc
Nasal Cannula,Nasal Cannula;Warmed;Humidified,3,ucmc
Nasal Cannula,Room Air;Nasal Cannula;Humidified,3,ucmc
Nasal Cannula,Blow-By;Nasal Cannula,2,ucmc
Nasal Cannula,Face Tent;Nasal Cannula;Humidified,2,ucmc
Nasal Cannula,NRB Mask;Humidified;Nasal Cannula,2,ucmc
Nasal Cannula,Nasal Cannula;Humidified;Room Air,2,ucmc
Nasal Cannula,Nasal Cannula;Humidified;Trach Collar,2,ucmc
Nasal Cannula,Nasal Cannula;OxyMask,2,ucmc
Nasal Cannula,RAM Cannula;Blow-By,2,ucmc
Nasal Cannula,RAM Cannula;Nasal Cannula,2,ucmc
Nasal Cannula,RAM Cannula;Room Air,2,ucmc
Nasal Cannula,RAM Cannula;Trach Collar,2,ucmc
Nasal Cannula,RAM Cannula;Venturi Mask,2,ucmc
Nasal Cannula,Room Air;Humidified;Nasal Cannula,2,ucmc
Nasal Cannula,Venturi Mask;Nasal Cannula,2,ucmc
Nasal Cannula,Warmed;Humidified;Nasal Cannula,2,ucmc
Nasal Cannula,Aerosol Mask;Nasal Cannula;Warmed,1,ucmc
Nasal Cannula,Face Mask;Room Air;Nasal Cannula,1,ucmc
Nasal Cannula,Humidified;Nasal Cannula;Room Air,1,ucmc
Nasal Cannula,Humidified;Nasal Cannula;Venturi Mask,1,ucmc
Nasal Cannula,Humidified;Nasal Cannula;Warmed,1,ucmc
Nasal Cannula,Humidified;Nasal Cannula;Warmed;Venturi Mask,1,ucmc
Nasal Cannula,Humidified;Trach Collar;Nasal Cannula,1,ucmc
Nasal Cannula,NRB Mask;RAM Cannula,1,ucmc
Nasal Cannula,NRB Mask;RAM Cannula;Humidified,1,ucmc
Nasal Cannula,Nasal Cannula;Blow-By,1,ucmc
Nasal Cannula,Nasal Cannula;Humidified;Aerosol Mask,1,ucmc
Nasal Cannula,Nasal Cannula;Humidified;Face Mask,1,ucmc
Nasal Cannula,Nasal Cannula;Humidified;Face Tent,1,ucmc
Nasal Cannula,Nasal Cannula;Humidified;O2 Hood,1,ucmc
Nasal Cannula,Nasal Cannula;Humidified;Warmed;NRB Mask,1,ucmc
Nasal Cannula,Nasal Cannula;NRB Mask;Venturi Mask,1,ucmc
Nasal Cannula,Nasal Cannula;OxyTrach,1,ucmc
Nasal Cannula,Nasal Cannula;RAM Cannula;Humidified,1,ucmc
Nasal Cannula,Nasal Cannula;Room Air;Aerosol Mask,1,ucmc
Nasal Cannula,Nasal Cannula;Venturi Mask;Humidified,1,ucmc
Nasal Cannula,RAM Cannula;Face Mask,1,ucmc
Nasal Cannula,RAM Cannula;O2 Hood;Venturi Mask;Warmed,1,ucmc
Nasal Cannula,Room Air;Nasal Cannula;RAM Cannula,1,ucmc
Nasal Cannula,Room Air;OxyMask;RAM Cannula,1,ucmc
Other,NIPPV,43322,ucmc
Other,Face Tent,1089,ucmc
Other,Humidified,436,ucmc
Other,Blow-By,372,ucmc
Other,O2 Hood,342,ucmc
Other,Face Tent;Humidified,208,ucmc
Other,T-Piece,168,ucmc
Other,OxyTrach,95,ucmc
Other,Humidified;Face Tent,85,ucmc
Other,Warmed,60,ucmc
Other,Humidified;Warmed,49,ucmc
Other,Warmed;Humidified,48,ucmc
Other,T-Piece;Humidified,33,ucmc
Other,Humidified;O2 Hood,13,ucmc
Other,Humidified;T-Piece,12,ucmc
Other,O2 Hood;Humidified,11,ucmc
Other,OxyTrach;Humidified,4,ucmc
Other,Warmed;T-Piece;Humidified,4,ucmc
Other,Blow-By;Humidified,3,ucmc
Other,Face Tent;Blow-By,3,ucmc
Other,Humidified;T-Piece;Warmed,3,ucmc
Other,Warmed;T-Piece,3,ucmc
Other,T-Piece;Humidified;Warmed,2,ucmc
Other,Warmed;O2 Hood,2,ucmc
Other,Face Tent;Warmed;Humidified,1,ucmc
Other,Humidified;Face Tent;Warmed,1,ucmc
Other,Humidified;OxyTrach,1,ucmc
Room Air,Room Air,981694,ucmc
Room Air,Room Air;Humidified,63,ucmc
Room Air,Room Air;Face Tent,14,ucmc
Room Air,Room Air;Warmed,10,ucmc
Room Air,Room Air;T-Piece,9,ucmc
Room Air,Humidified;Room Air,8,ucmc
Room Air,Room Air;Blow-By,8,ucmc
Room Air,Room Air;O2 Hood,7,ucmc
Room Air,Warmed;Room Air,6,ucmc
Room Air,Room Air;Face Tent;Humidified,5,ucmc
Room Air,Room Air;Humidified;Warmed,5,ucmc
Room Air,Room Air;OxyTrach,5,ucmc
Room Air,Face Tent;Room Air,3,ucmc
Room Air,O2 Hood;Room Air,3,ucmc
Room Air,Room Air;Humidified;Face Tent,3,ucmc
Room Air,T-Piece;Room Air,3,ucmc
Room Air,Blow-By;Room Air,2,ucmc
Room Air,OxyTrach;Room Air,1,ucmc
Trach Collar,Trach Collar,51705,ucmc
Trach Collar,Trach Collar;Humidified,15332,ucmc
Trach Collar,Humidified;Trach Collar,5568,ucmc
Trach Collar,Trach Collar;Humidified;Warmed,1669,ucmc
Trach Collar,Trach Collar;Warmed,813,ucmc
Trach Collar,Trach Collar;Warmed;Humidified,322,ucmc
Trach Collar,Room Air;Trach Collar,295,ucmc
Trach Collar,Warmed;Humidified;Trach Collar,283,ucmc
Trach Collar,Humidified;Warmed;Trach Collar,251,ucmc
Trach Collar,Warmed;Trach Collar,180,ucmc
Trach Collar,Humidified;Trach Collar;Warmed,141,ucmc
Trach Collar,Trach Collar;Aerosol Mask;Humidified,139,ucmc
Trach Collar,Trach Collar;Room Air,106,ucmc
Trach Collar,Warmed;Trach Collar;Humidified,69,ucmc
Trach Collar,Trach Collar;Venturi Mask,31,ucmc
Trach Collar,Trach Collar;Humidified;Aerosol Mask,28,ucmc
Trach Collar,Trach Collar;Aerosol Mask,26,ucmc
Trach Collar,Aerosol Mask;Trach Collar;Humidified,17,ucmc
Trach Collar,Room Air;Trach Collar;Humidified,17,ucmc
Trach Collar,Aerosol Mask;Trach Collar,16,ucmc
Trach Collar,Room Air;Trach Collar;Humidified;Warmed,15,ucmc
Trach Collar,Humidified;Trach Collar;Aerosol Mask,10,ucmc
Trach Collar,T-Piece;Trach Collar,9,ucmc
Trach Collar,Room Air;Humidified;Trach Collar,8,ucmc
Trach Collar,Trach Collar;Face Tent,8,ucmc
Trach Collar,Trach Collar;NRB Mask,8,ucmc
Trach Collar,Humidified;Aerosol Mask;Trach Collar,7,ucmc
Trach Collar,NRB Mask;Trach Collar,7,ucmc
Trach Collar,Trach Collar;Humidified;Venturi Mask,7,ucmc
Trach Collar,Blow-By;Trach Collar,6,ucmc
Trach Collar,Humidified;Trach Collar;Room Air,6,ucmc
Trach Collar,Trach Collar;Humidified;Room Air,6,ucmc
Trach Collar,Trach Collar;T-Piece,6,ucmc
Trach Collar,Aerosol Mask;Humidified;Trach Collar,4,ucmc
Trach Collar,Trach Collar;Face Mask,4,ucmc
Trach Collar,Trach Collar;Room Air;Humidified,4,ucmc
Trach Collar,Face Mask;Trach Collar,3,ucmc
Trach Collar,Humidified;Trach Collar;Venturi Mask,3,ucmc
Trach Collar,Room Air;Trach Collar;Warmed,3,ucmc
Trach Collar,Trach Collar;Aerosol Mask;Humidified;Warmed,3,ucmc
Trach Collar,Trach Collar;Humidified;NRB Mask,3,ucmc
Trach Collar,Trach Collar;Humidified;Warmed;Room Air,3,ucmc
Trach Collar,Trach Collar;O2 Hood,3,ucmc
Trach Collar,Trach Collar;Venturi Mask;Humidified,3,ucmc
Trach Collar,Venturi Mask;Trach Collar,3,ucmc
Trach Collar,Aerosol Mask;Warmed;Humidified;Trach Collar,2,ucmc
Trach Collar,Humidified;Warmed;Trach Collar;Venturi Mask,2,ucmc
Trach Collar,Trach Collar;Blow-By,2,ucmc
Trach Collar,Face Mask;Trach Collar;Humidified,1,ucmc
Trach Collar,Face Tent;Trach Collar,1,ucmc
Trach Collar,Humidified;Trach Collar;O2 Hood,1,ucmc
Trach Collar,Humidified;Venturi Mask;Warmed;Trach Collar,1,ucmc
Trach Collar,OxyMask;Trach Collar;Humidified,1,ucmc
Trach Collar,OxyTrach;Trach Collar,1,ucmc
Trach Collar,Room Air;Face Mask;Trach Collar,1,ucmc
Trach Collar,Room Air;Humidified;Warmed;Trach Collar,1,ucmc
Trach Collar,Room Air;T-Piece;Trach Collar,1,ucmc
Trach Collar,Room Air;Trach Collar;Aerosol Mask,1,ucmc
Trach Collar,Room Air;Warmed;Humidified;Trach Collar,1,ucmc
Trach Collar,Room Air;Warmed;Trach Collar,1,ucmc
Trach Collar,Trach Collar;Humidified;Aerosol Mask;Warmed,1,ucmc
Trach Collar,Trach Collar;Humidified;Blow-By,1,ucmc
Trach Collar,Trach Collar;Humidified;T-Piece,1,ucmc
Trach Collar,Trach Collar;OxyTrach,1,ucmc
